# MPMMO Benchmark Problem: mpmmo_f09_10d_2p
# dimensions   : 10
# num_parties  : 2
# num_peaks    : 10
# peak_id  height  shape  condition  party  party_mag  asym_beta  link_beta  irregular  rotate  c0  c1  c2  c3  c4  c5  c6  c7  c8  c9
1  90.0000  s1  1.0000  0  2.0000  0.0000  0.0000  0  0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
2  85.0000  s2  10.0000  0  2.0000  0.0000  0.0000  0  0  30.0000  0.0000  25.5000  0.0000  21.0000  0.0000  16.5000  0.0000  12.0000  0.0000
3  80.0000  s1  1.0000  1  2.0000  0.0000  0.0000  0  0  -30.0000  0.0000  -25.5000  0.0000  -21.0000  0.0000  -16.5000  0.0000  -12.0000  0.0000
4  78.0000  s2  10.0000  1  2.0000  0.0000  0.0000  0  0  0.0000  30.0000  0.0000  25.5000  0.0000  21.0000  0.0000  16.5000  0.0000  12.0000
5  75.0000  s1  1.0000  0  2.0000  0.0000  0.0000  0  0  0.0000  -30.0000  0.0000  -25.5000  0.0000  -21.0000  0.0000  -16.5000  0.0000  -12.0000
6  70.0000  s2  10.0000  1  2.0000  0.0000  0.0000  0  0  60.0000  60.0000  51.0000  51.0000  42.0000  42.0000  33.0000  33.0000  24.0000  24.0000
7  65.0000  s1  1.0000  0  2.0000  0.0000  0.0000  0  0  -60.0000  60.0000  -51.0000  51.0000  -42.0000  42.0000  -33.0000  33.0000  -24.0000  24.0000
8  60.0000  s2  10.0000  1  2.0000  0.0000  0.0000  0  0  -60.0000  -60.0000  -51.0000  -51.0000  -42.0000  -42.0000  -33.0000  -33.0000  -24.0000  -24.0000
9  55.0000  s1  1.0000  0  2.0000  0.0000  0.0000  0  0  60.0000  -60.0000  51.0000  -51.0000  42.0000  -42.0000  33.0000  -33.0000  24.0000  -24.0000
10  50.0000  s2  10.0000  1  2.0000  0.0000  0.0000  0  0  30.0000  60.0000  25.5000  51.0000  21.0000  42.0000  16.5000  33.0000  12.0000  24.0000
