# Two-objective rank landscape D=3 (slice: x0-x1, others=0.5)
# x0 x1 value
0.000000 0.000000 14.000000
0.000000 0.010101 14.000000
0.000000 0.020202 14.000000
0.000000 0.030303 14.000000
0.000000 0.040404 186.000000
0.000000 0.050505 186.000000
0.000000 0.060606 186.000000
0.000000 0.070707 186.000000
0.000000 0.080808 186.000000
0.000000 0.090909 186.000000
0.000000 0.101010 186.000000
0.000000 0.111111 186.000000
0.000000 0.121212 186.000000
0.000000 0.131313 186.000000
0.000000 0.141414 186.000000
0.000000 0.151515 186.000000
0.000000 0.161616 186.000000
0.000000 0.171717 186.000000
0.000000 0.181818 186.000000
0.000000 0.191919 186.000000
0.000000 0.202020 186.000000
0.000000 0.212121 186.000000
0.000000 0.222222 186.000000
0.000000 0.232323 186.000000
0.000000 0.242424 186.000000
0.000000 0.252525 186.000000
0.000000 0.262626 186.000000
0.000000 0.272727 186.000000
0.000000 0.282828 186.000000
0.000000 0.292929 186.000000
0.000000 0.303030 186.000000
0.000000 0.313131 186.000000
0.000000 0.323232 186.000000
0.000000 0.333333 186.000000
0.000000 0.343434 186.000000
0.000000 0.353535 186.000000
0.000000 0.363636 186.000000
0.000000 0.373737 186.000000
0.000000 0.383838 186.000000
0.000000 0.393939 186.000000
0.000000 0.404040 186.000000
0.000000 0.414141 186.000000
0.000000 0.424242 186.000000
0.000000 0.434343 186.000000
0.000000 0.444444 186.000000
0.000000 0.454545 186.000000
0.000000 0.464646 186.000000
0.000000 0.474747 186.000000
0.000000 0.484848 1841.000000
0.000000 0.494949 1841.000000
0.000000 0.505051 1841.000000
0.000000 0.515152 1841.000000
0.000000 0.525253 1841.000000
0.000000 0.535354 1841.000000
0.000000 0.545455 1841.000000
0.000000 0.555556 1841.000000
0.000000 0.565657 1841.000000
0.000000 0.575758 1841.000000
0.000000 0.585859 1841.000000
0.000000 0.595960 1841.000000
0.000000 0.606061 1841.000000
0.000000 0.616162 1841.000000
0.000000 0.626263 1841.000000
0.000000 0.636364 1841.000000
0.000000 0.646465 1841.000000
0.000000 0.656566 1841.000000
0.000000 0.666667 1841.000000
0.000000 0.676768 1841.000000
0.000000 0.686869 1841.000000
0.000000 0.696970 1841.000000
0.000000 0.707071 1841.000000
0.000000 0.717172 1841.000000
0.000000 0.727273 1841.000000
0.000000 0.737374 1841.000000
0.000000 0.747475 1841.000000
0.000000 0.757576 1841.000000
0.000000 0.767677 1841.000000
0.000000 0.777778 1841.000000
0.000000 0.787879 1841.000000
0.000000 0.797980 1841.000000
0.000000 0.808081 1841.000000
0.000000 0.818182 1841.000000
0.000000 0.828283 1841.000000
0.000000 0.838384 1841.000000
0.000000 0.848485 1841.000000
0.000000 0.858586 1841.000000
0.000000 0.868687 1841.000000
0.000000 0.878788 1841.000000
0.000000 0.888889 1841.000000
0.000000 0.898990 1841.000000
0.000000 0.909091 1841.000000
0.000000 0.919192 1841.000000
0.000000 0.929293 1841.000000
0.000000 0.939394 1841.000000
0.000000 0.949495 1841.000000
0.000000 0.959596 1841.000000
0.000000 0.969697 1841.000000
0.000000 0.979798 1841.000000
0.000000 0.989899 1841.000000
0.000000 1.000000 1841.000000
0.010101 0.000000 14.000000
0.010101 0.010101 14.000000
0.010101 0.020202 14.000000
0.010101 0.030303 14.000000
0.010101 0.040404 186.000000
0.010101 0.050505 186.000000
0.010101 0.060606 186.000000
0.010101 0.070707 186.000000
0.010101 0.080808 186.000000
0.010101 0.090909 186.000000
0.010101 0.101010 186.000000
0.010101 0.111111 186.000000
0.010101 0.121212 186.000000
0.010101 0.131313 186.000000
0.010101 0.141414 186.000000
0.010101 0.151515 186.000000
0.010101 0.161616 186.000000
0.010101 0.171717 186.000000
0.010101 0.181818 186.000000
0.010101 0.191919 186.000000
0.010101 0.202020 186.000000
0.010101 0.212121 186.000000
0.010101 0.222222 186.000000
0.010101 0.232323 186.000000
0.010101 0.242424 186.000000
0.010101 0.252525 186.000000
0.010101 0.262626 186.000000
0.010101 0.272727 186.000000
0.010101 0.282828 186.000000
0.010101 0.292929 186.000000
0.010101 0.303030 186.000000
0.010101 0.313131 186.000000
0.010101 0.323232 186.000000
0.010101 0.333333 186.000000
0.010101 0.343434 186.000000
0.010101 0.353535 186.000000
0.010101 0.363636 186.000000
0.010101 0.373737 186.000000
0.010101 0.383838 186.000000
0.010101 0.393939 186.000000
0.010101 0.404040 186.000000
0.010101 0.414141 186.000000
0.010101 0.424242 186.000000
0.010101 0.434343 186.000000
0.010101 0.444444 186.000000
0.010101 0.454545 186.000000
0.010101 0.464646 186.000000
0.010101 0.474747 186.000000
0.010101 0.484848 1841.000000
0.010101 0.494949 1841.000000
0.010101 0.505051 1841.000000
0.010101 0.515152 1841.000000
0.010101 0.525253 1841.000000
0.010101 0.535354 1841.000000
0.010101 0.545455 1841.000000
0.010101 0.555556 1841.000000
0.010101 0.565657 1841.000000
0.010101 0.575758 1841.000000
0.010101 0.585859 1841.000000
0.010101 0.595960 1841.000000
0.010101 0.606061 1841.000000
0.010101 0.616162 1841.000000
0.010101 0.626263 1841.000000
0.010101 0.636364 1841.000000
0.010101 0.646465 1841.000000
0.010101 0.656566 1841.000000
0.010101 0.666667 1841.000000
0.010101 0.676768 1841.000000
0.010101 0.686869 1841.000000
0.010101 0.696970 1841.000000
0.010101 0.707071 1841.000000
0.010101 0.717172 1841.000000
0.010101 0.727273 1841.000000
0.010101 0.737374 1841.000000
0.010101 0.747475 1841.000000
0.010101 0.757576 1841.000000
0.010101 0.767677 1841.000000
0.010101 0.777778 1841.000000
0.010101 0.787879 1841.000000
0.010101 0.797980 1841.000000
0.010101 0.808081 1841.000000
0.010101 0.818182 1841.000000
0.010101 0.828283 1841.000000
0.010101 0.838384 1841.000000
0.010101 0.848485 1841.000000
0.010101 0.858586 1841.000000
0.010101 0.868687 1841.000000
0.010101 0.878788 1841.000000
0.010101 0.888889 1841.000000
0.010101 0.898990 1841.000000
0.010101 0.909091 1841.000000
0.010101 0.919192 1841.000000
0.010101 0.929293 1841.000000
0.010101 0.939394 1841.000000
0.010101 0.949495 1841.000000
0.010101 0.959596 1841.000000
0.010101 0.969697 1841.000000
0.010101 0.979798 1841.000000
0.010101 0.989899 1841.000000
0.010101 1.000000 1841.000000
0.020202 0.000000 14.000000
0.020202 0.010101 14.000000
0.020202 0.020202 14.000000
0.020202 0.030303 14.000000
0.020202 0.040404 186.000000
0.020202 0.050505 186.000000
0.020202 0.060606 186.000000
0.020202 0.070707 186.000000
0.020202 0.080808 186.000000
0.020202 0.090909 186.000000
0.020202 0.101010 186.000000
0.020202 0.111111 186.000000
0.020202 0.121212 186.000000
0.020202 0.131313 186.000000
0.020202 0.141414 186.000000
0.020202 0.151515 186.000000
0.020202 0.161616 186.000000
0.020202 0.171717 186.000000
0.020202 0.181818 186.000000
0.020202 0.191919 186.000000
0.020202 0.202020 186.000000
0.020202 0.212121 186.000000
0.020202 0.222222 186.000000
0.020202 0.232323 186.000000
0.020202 0.242424 186.000000
0.020202 0.252525 186.000000
0.020202 0.262626 186.000000
0.020202 0.272727 186.000000
0.020202 0.282828 186.000000
0.020202 0.292929 186.000000
0.020202 0.303030 186.000000
0.020202 0.313131 186.000000
0.020202 0.323232 186.000000
0.020202 0.333333 186.000000
0.020202 0.343434 186.000000
0.020202 0.353535 186.000000
0.020202 0.363636 186.000000
0.020202 0.373737 186.000000
0.020202 0.383838 186.000000
0.020202 0.393939 186.000000
0.020202 0.404040 186.000000
0.020202 0.414141 186.000000
0.020202 0.424242 186.000000
0.020202 0.434343 186.000000
