# gen=50 mediating population
# x0..xd fitness
0.924894 0.138955 31.112365
0.221266 0.144752 42.040507
0.639389 0.562497 54.998914
0.612241 0.787049 24.845474
0.536832 0.790596 21.642840
0.297421 0.191560 89.999904
0.170917 0.941577 27.672800
0.843556 0.206050 26.631084
0.966622 0.241710 20.063971
0.430325 0.267749 27.051694
0.978482 0.560330 30.020663
0.858231 0.075005 59.999999
0.139896 0.066506 19.020493
0.736335 0.539359 22.783232
0.238579 0.732528 62.394169
0.313040 0.268907 35.197042
0.379505 0.845999 69.999163
0.974057 0.608013 27.938170
0.972652 0.191560 23.939324
0.840717 0.273114 19.625570
0.246657 0.716679 53.098751
0.975115 0.295438 14.735021
0.972652 0.468956 44.999380
0.028526 0.394810 3.853482
0.255502 0.758509 67.316128
0.219450 0.840161 37.928748
0.152724 0.244100 28.364612
0.136551 0.568716 24.314226
0.261082 0.316857 24.808966
0.621154 0.906414 18.416631
0.326221 0.962278 34.059861
0.690381 0.750051 24.932993
0.644404 0.308242 8.426629
0.325224 0.266044 35.973299
0.588632 0.045296 5.732245
0.717349 0.152712 24.533630
0.351765 0.875266 41.411684
0.258448 0.550346 30.401866
0.586186 0.541862 8.076315
0.047393 0.406681 6.546896
0.858231 0.075005 59.999999
0.444972 0.109671 25.189266
0.107824 0.305774 17.936384
0.206618 0.321515 22.205416
0.521564 0.601176 18.268955
0.857688 0.827424 9.967906
0.297421 0.191560 89.999904
0.003791 0.912819 7.769234
0.913656 0.087637 34.878397
0.740027 0.881569 13.873565
0.582907 0.503415 6.893522
0.243767 0.699216 42.140188
0.682162 0.967206 14.095345
0.760819 0.327208 12.406315
0.654791 0.840471 22.283018
0.858231 0.075005 59.999999
0.379505 0.845999 69.999163
0.460326 0.497280 18.390358
0.639389 0.562497 54.998914
0.238025 0.734674 63.203187
0.561527 0.991330 16.454255
0.213207 0.053381 21.200090
0.738617 0.870516 14.506214
0.759366 0.700114 17.508345
0.743394 0.542399 21.648389
0.639389 0.753161 27.552678
0.945614 0.663108 24.468427
0.414162 0.158643 33.303583
0.245218 0.547445 30.296990
0.260510 0.748582 59.471723
0.639389 0.562497 54.998914
0.224242 0.308394 25.066429
0.199059 0.976186 27.613318
0.379505 0.845999 69.999163
0.574453 0.727784 15.216756
0.406198 0.450963 17.723496
0.314496 0.621930 27.092377
0.326422 0.977593 33.298952
0.025722 0.057515 8.738832
0.421286 0.385040 12.837875
0.297421 0.753161 37.885779
0.468072 0.951532 30.295638
0.191366 0.233269 34.177032
0.656128 0.499006 34.058778
0.144588 0.839120 29.167714
0.590548 0.566150 8.449691
0.470205 0.701499 28.579818
0.482845 0.571005 20.894798
0.604191 0.755975 26.000467
0.671243 0.686104 29.780786
0.867139 0.653516 15.752815
0.858231 0.075005 59.999999
0.924464 0.787286 17.917037
0.177153 0.233269 31.272534
0.802961 0.021137 32.637105
0.467998 0.753894 30.751008
0.688026 0.598309 30.453679
0.254298 0.296641 28.060137
0.670508 0.198779 18.101092
0.359808 0.312154 24.873848
0.379505 0.845999 69.999163
0.149943 0.319568 19.283679
0.864919 0.673286 15.021875
0.867660 0.595594 16.873157
0.238353 0.984883 28.347272
0.225154 0.857427 37.171479
0.776866 0.423625 14.816200
0.297421 0.191560 89.999904
0.003481 0.963261 6.407590
0.925733 0.912795 12.737628
0.337762 0.053672 22.609741
0.998203 0.981506 10.551452
0.234158 0.583537 32.830947
0.221980 0.963078 29.584849
0.044281 0.883902 14.115697
0.560194 0.811522 18.367471
0.673601 0.559005 33.072914
0.252363 0.191295 77.449536
0.896936 0.749882 16.828849
0.293313 0.870830 34.338213
0.972749 0.498320 36.014424
0.498162 0.491601 15.129447
0.898779 0.216381 25.112538
0.874586 0.184582 28.839502
0.345525 0.445086 17.144670
0.920543 0.365524 9.443043
0.379505 0.845999 69.999163
0.493128 0.155415 24.206437
0.676331 0.597302 32.299498
0.858231 0.075005 59.999999
0.200324 0.299762 25.242456
0.519408 0.071965 14.638069
0.132715 0.493224 20.005153
0.248242 0.752076 74.596610
0.205542 0.632468 34.724858
0.087202 0.762637 21.961396
0.990913 0.809753 18.471630
0.297421 0.191560 89.999904
1.000000 0.461128 30.005677
0.677956 0.091294 22.875309
0.228999 0.316573 23.928492
0.241583 0.385821 18.382692
0.342681 0.642664 30.274406
0.163845 0.361225 13.943047
0.156086 0.184306 30.631714
0.595305 0.690666 28.271124
0.204142 0.441664 21.679755
0.461462 0.889195 32.817059
0.599661 0.027676 14.897821
0.856535 0.118606 35.841390
0.639389 0.562497 54.998914
0.379505 0.845999 69.999163
0.656136 0.358863 4.867438
0.912336 0.751023 18.323674
0.297421 0.191560 89.999904
0.146652 0.788400 30.526014
0.802346 0.724676 10.445162
0.865574 0.553150 17.099887
0.320995 0.861843 36.599223
0.367979 0.555422 25.182230
0.250500 0.753161 73.369383
0.512701 0.934659 24.612440
0.434549 0.943767 34.741490
0.858164 0.402296 16.122038
0.970546 0.085486 29.478585
0.462615 0.464579 16.199518
0.551513 0.942796 18.895971
0.413932 0.776776 38.380491
0.088493 0.722466 22.052655
0.343132 0.234262 56.225487
0.543492 0.635454 16.937908
0.934067 0.717027 21.455705
0.392192 0.198118 47.398058
0.065845 0.787197 18.699503
0.965831 0.632459 26.749887
0.051180 0.567289 13.560736
0.251109 0.960081 30.196082
0.477412 0.308549 18.376614
0.433207 0.175895 31.094480
0.858231 0.075005 59.999999
0.915823 0.735725 19.209600
0.105949 0.835673 23.867920
0.063624 0.547856 14.535976
0.224418 0.516932 27.755442
0.725906 0.303593 13.294520
0.297421 0.191560 89.999904
0.972652 0.468956 44.999380
0.834348 0.193857 27.765877
0.961131 0.070399 30.433060
0.787133 0.260657 19.813519
0.884120 0.348104 11.746952
0.488366 0.722253 27.051789
0.399376 0.076235 23.929462
0.253638 0.753161 70.293675
0.297421 0.191560 89.999904
0.907773 0.929166 10.954612
0.575284 0.496467 7.475086
0.729775 0.052140 27.744912
0.694894 0.017112 23.478602
0.132027 0.518541 21.306418
0.619325 0.488040 33.202775
0.379505 0.845999 69.999163
0.481537 0.260512 23.148129
0.073124 0.483385 13.074143
0.483090 0.785357 29.402438
0.088048 0.071763 15.672330
0.297421 0.191560 89.999904
0.921934 0.139268 31.284829
0.209629 0.183880 51.301348
0.303281 0.175919 85.974340
0.971629 0.456721 42.864356
0.985537 0.949268 12.269886
0.297421 0.753161 37.885779
0.660839 0.336915 7.021545
0.667001 0.986160 13.595565
0.639389 0.562497 54.998914
0.810484 0.228419 23.714171
0.787369 0.367431 9.077013
0.440853 0.690162 31.251907
0.858231 0.753161 12.176347
0.275278 0.732865 40.903047
0.477935 0.175910 26.596817
0.297421 0.191560 89.999904
0.518888 0.474198 12.296701
0.387871 0.006715 13.348126
0.992976 0.054512 27.188576
0.836711 0.941641 3.985095
0.972652 0.468956 44.999380
0.537043 0.392509 6.160815
0.639389 0.562497 54.998914
0.801648 0.639346 11.808736
0.424842 0.285071 25.348504
0.858231 0.075005 59.999999
0.240973 0.760948 71.396993
0.687125 0.169773 21.108374
0.340192 0.140506 50.487892
0.174438 0.136535 30.201244
0.227204 0.314253 24.238658
0.708266 0.666873 25.883673
