# gen=200 OSA snapshot
# x0..xd fitness
0.297468 0.191490 90.000000
0.379505 0.845999 69.999163
0.858228 0.075005 59.999999
0.317611 0.180930 85.619217
0.639493 0.562500 55.000000
0.364962 0.170386 59.736614
0.379505 0.191490 55.343703
0.246901 0.771858 67.824449
0.375762 0.857607 67.510096
0.274287 0.230187 66.375619
0.242973 0.183045 71.416530
0.320145 0.208279 82.395238
0.352253 0.207778 68.866596
0.332267 0.183774 81.427230
0.338593 0.209678 74.904529
0.292382 0.184031 88.940413
0.299646 0.219728 78.052684
0.295998 0.199608 88.933194
0.248242 0.752076 74.596610
0.316378 0.197575 87.073639
0.852702 0.075056 58.936562
0.862300 0.068570 57.781135
0.367761 0.187392 62.541152
0.290132 0.144444 60.734775
0.297468 0.235245 64.176069
0.250689 0.740913 70.116032
0.265447 0.193876 83.345603
0.315344 0.167163 79.102136
0.326149 0.238378 57.692178
0.260267 0.746737 59.580961
0.243882 0.733902 67.023231
0.384298 0.821519 62.194226
0.307074 0.184933 88.704500
0.643116 0.576076 51.582660
0.246339 0.757343 74.618498
0.280737 0.193402 88.098205
0.383516 0.845364 69.095215
0.329342 0.212188 77.362618
0.238453 0.748318 69.495835
0.287001 0.192795 89.246465
0.264957 0.228933 65.009095
0.340319 0.163356 68.346105
0.331315 0.197925 82.085103
0.370907 0.821170 59.695577
0.249458 0.763979 71.594342
0.239572 0.216433 63.115519
0.287241 0.186047 88.835582
0.241765 0.753484 73.295618
0.641583 0.554625 53.807218
0.260283 0.184031 80.458135
0.302211 0.191490 89.850381
0.248454 0.780337 60.826866
0.280697 0.215745 79.374596
0.289271 0.210981 83.685637
0.315057 0.187173 87.672050
0.304978 0.177433 86.520298
0.852464 0.065551 55.466703
0.266555 0.160269 70.557473
0.315434 0.153987 68.492403
0.860961 0.087205 54.150786
0.377647 0.864509 65.650414
0.256450 0.204932 76.972685
0.380598 0.866564 64.871253
0.293680 0.191433 89.904454
0.334516 0.192828 81.293479
0.377265 0.838564 69.075401
0.265002 0.174806 79.229777
0.371491 0.848525 66.357967
0.243157 0.726023 60.560226
0.367886 0.883807 50.819729
0.238964 0.766290 67.253603
0.323479 0.202822 83.670142
0.258845 0.720615 49.304452
0.243949 0.239554 49.376928
0.289925 0.204184 87.081061
0.255306 0.757877 67.705944
0.301723 0.195483 89.624104
0.244848 0.168736 67.015014
0.875688 0.066611 48.771066
0.386677 0.807364 53.331469
0.305263 0.210296 84.117823
0.246535 0.791941 51.278125
0.346817 0.226019 61.089878
0.239600 0.781702 57.464946
0.302014 0.158637 74.164415
0.342271 0.202795 75.866322
0.387076 0.880704 55.037616
0.359815 0.209668 63.880982
0.222511 0.158479 49.993703
0.297468 0.170756 83.356331
0.252832 0.215885 69.940502
0.282826 0.196980 88.108818
0.384975 0.859812 66.028889
0.231593 0.207919 62.499987
0.259089 0.771121 57.402423
0.376940 0.828373 66.052756
0.304150 0.200989 88.269964
0.380356 0.885632 54.190242
0.391007 0.824717 58.737442
0.336375 0.140140 51.229213
0.241230 0.202942 69.683469
0.274707 0.185276 86.022588
0.239572 0.772063 64.541233
0.327229 0.180760 82.583597
0.218185 0.188450 56.976085
0.343410 0.191930 77.014873
0.276117 0.193520 86.952369
0.274517 0.212040 80.286808
0.387034 0.869259 60.984188
0.209989 0.203157 50.877647
0.287793 0.174140 84.705588
0.281692 0.176932 85.079963
0.232108 0.752691 60.231272
0.367158 0.855233 61.148073
0.353883 0.192298 71.195539
0.369717 0.809733 53.096820
0.246338 0.748418 74.496882
0.321362 0.167720 78.022621
0.233367 0.726600 52.725346
0.379107 0.830504 67.195636
