# gen=0 CA size=184
# x0..x(D-1) consensus
0.599135 0.749868 52.154688
0.976598 0.219927 47.824019
0.909290 0.233573 47.824019
0.279840 0.750442 49.944194
0.633141 0.720619 47.500830
0.219752 0.749507 38.477689
0.755452 0.276994 60.285497
0.701028 0.259465 56.936026
0.785323 0.376110 50.529617
0.638038 0.327866 50.529617
0.287553 0.620481 69.518724
0.753023 0.339750 50.529617
0.476065 0.846723 48.478887
0.503821 0.753208 52.190633
0.654558 0.525743 48.518919
0.704484 0.571432 49.288994
0.630842 0.547310 47.500830
0.453530 0.690573 46.403074
0.549855 0.806739 63.713102
0.554603 0.783671 62.601761
0.880960 0.298018 47.824019
0.630006 0.417159 46.403074
0.726331 0.533325 43.991013
0.736677 0.487577 43.991013
0.831156 0.286661 49.001213
0.596352 0.423983 46.403074
0.692677 0.540148 47.070718
0.703023 0.494400 46.403074
0.477963 0.526320 46.403074
0.532581 0.563276 46.403074
0.281627 0.682417 65.661793
0.377952 0.798583 38.477689
0.388298 0.752834 38.477689
0.564948 0.737923 58.503332
0.447919 0.525852 46.403074
0.502538 0.562808 46.403074
0.251583 0.681949 59.614683
0.347909 0.798115 38.477689
0.358254 0.752367 38.477689
0.793921 0.295770 57.677897
0.559117 0.433091 46.403074
0.123077 0.813728 52.972601
0.800035 0.159189 47.824019
0.517396 0.882367 57.955393
0.528402 0.192696 48.518919
0.359551 0.477796 46.436111
0.111741 0.590721 42.858816
0.104476 0.966653 42.220579
0.734034 0.081167 47.824019
0.889147 0.451460 43.991013
0.904287 0.681038 49.547643
0.901949 0.187125 47.824019
0.039228 0.434074 42.220579
0.967885 0.933724 43.991013
0.253632 0.717734 54.209729
0.754907 0.170704 47.824019
0.117985 0.737050 52.035284
0.007858 0.625113 42.220579
0.402575 0.699674 51.436120
0.309255 0.952430 38.477689
0.161622 0.494259 42.220579
0.153125 0.967873 42.858816
0.938444 0.743046 49.547643
0.279117 0.258165 71.508613
0.473946 0.470999 46.403074
0.332430 0.275268 38.614884
0.337086 0.883183 38.477689
0.751875 0.875296 43.991013
0.725752 0.422266 43.991013
0.561244 0.046305 48.518919
0.708821 0.965756 43.991013
0.851807 0.035840 47.824019
0.621251 0.141461 50.529617
0.497255 0.020057 48.518919
0.474608 0.120293 48.518919
0.862495 0.400757 43.991013
0.603093 0.170297 50.954481
0.413759 0.989411 42.220579
0.490936 0.927235 50.389003
0.769518 0.557634 43.991013
0.457298 0.087795 48.518919
0.223076 0.911360 38.477689
0.057745 0.598118 42.755637
0.870625 0.064300 47.824019
0.403197 0.567916 44.401158
0.779967 0.665618 49.547643
0.583330 0.493816 48.518919
0.399000 0.634432 50.506648
0.243790 0.605203 63.789760
0.882452 0.107389 47.824019
0.295622 0.650264 71.941184
0.261082 0.894143 38.477689
0.748915 0.995103 43.991013
0.849106 0.866634 43.991013
0.026788 0.746737 42.220579
0.427440 0.408076 42.220579
0.342457 0.515070 50.939464
0.819731 0.929272 43.991013
0.014283 0.905303 42.220579
0.467492 0.011457 48.518919
0.687758 0.434846 46.403074
0.284782 0.530527 56.713151
0.140875 0.865445 47.492802
0.606591 0.218936 52.598082
0.531916 0.261752 50.529617
0.439816 0.315527 48.518919
0.861105 0.334866 47.824019
0.652427 0.948014 47.500830
0.433583 0.749073 45.233366
0.748103 0.729113 47.389978
0.581769 0.809091 56.257272
0.661101 0.089633 48.518919
0.997287 0.975839 43.991013
0.004024 0.551465 42.220579
0.673249 0.877274 47.500830
0.934813 0.873735 44.447137
0.685190 0.309918 50.529617
0.529670 0.914932 59.273633
0.499530 0.204274 48.518919
0.563678 0.602186 47.500830
0.080806 0.739212 46.288302
0.868802 0.757363 49.547643
0.999296 0.528133 43.991013
0.112861 0.430865 42.220579
0.956833 0.139086 47.824019
0.831481 0.176139 47.824019
0.280418 0.480482 50.284458
0.528879 0.967264 50.769588
0.990954 0.826720 43.991013
0.615922 0.372671 50.529617
0.027003 0.815182 42.220579
0.504537 0.070475 48.518919
0.468985 0.602940 46.403074
0.187580 0.787732 42.858816
0.822522 0.486545 44.635818
0.537248 0.223323 50.529617
0.922599 0.936663 43.991013
0.318172 0.834470 39.754934
0.530769 0.162350 48.518919
0.732590 0.362371 50.529617
0.968028 0.491850 43.991013
0.635245 0.474725 46.403074
0.911543 0.481398 43.991013
0.293012 0.780981 45.271986
0.644650 0.173872 54.479406
0.777258 0.485073 43.991013
0.526459 0.407803 46.403074
0.785438 0.042647 47.824019
0.943508 0.843815 46.807140
0.226902 0.847568 38.477689
0.581097 0.524575 48.518919
0.987269 0.161003 47.824019
0.135518 0.396858 42.220579
0.037270 0.487026 42.220579
0.244527 0.971493 38.477689
0.502160 0.625882 46.403074
0.957744 0.380933 47.824019
0.082023 0.525464 42.220579
0.772199 0.634416 49.547643
0.091476 0.391872 42.220579
0.874414 0.634662 49.547643
0.963172 0.014110 47.824019
0.878251 0.593764 49.547643
0.246831 0.415471 42.220579
0.740347 0.575830 43.991013
0.386940 0.850958 38.477689
0.076249 0.446904 42.220579
0.959608 0.644873 49.547643
0.652387 0.912862 47.500830
0.076503 0.925734 42.220579
0.343535 0.931177 38.477689
0.897951 0.803241 49.547643
0.966485 0.770255 49.547643
0.654702 0.652268 47.500830
0.872253 0.221816 47.824019
0.483430 0.376806 49.264308
0.044462 0.385976 42.220579
0.121253 0.467488 42.220579
0.165604 0.389185 42.220579
0.495328 0.819300 52.361985
0.603182 0.563345 47.500830
0.551026 0.710948 60.066943
0.294810 0.886359 38.477689
0.568538 0.643023 47.500830
