# gen=0 CA size=20
# x0..x(D-1) consensus
0.171705 0.753198 76.948968
0.690015 0.193567 72.774348
0.681810 0.203429 68.188156
0.216240 0.702873 66.599317
0.776668 0.727168 37.005789
0.198472 0.230253 45.643378
0.193973 0.728035 81.057033
0.108771 0.802670 21.892294
0.229898 0.212437 40.925625
0.817011 0.684673 29.156068
0.832321 0.719688 28.195802
0.762764 0.167225 65.036200
0.252402 0.788191 24.437634
0.167691 0.810846 26.445257
0.168906 0.263596 29.029631
0.802747 0.200844 36.050920
0.122739 0.757445 38.908907
0.819027 0.756091 33.919462
0.774244 0.765103 36.035899
0.622545 0.235705 25.517415
