idx	x0_norm	x1_norm	x0_plot	x1_plot	f_party0	f_party1	consensus_min
0	0.2894831704	0.7914899537	-1.4736178069	2.0404296759	90.0000000000	90.0000000000	90.0000000000
1	0.0981491927	0.6996676281	-2.8129556510	1.3976733967	90.0000000000	90.0000000000	90.0000000000
2	0.4498131684	0.0650600960	-0.3513078210	-3.0445793278	90.0000000000	90.0000000000	90.0000000000
3	0.5080935329	0.8474953435	0.0566547306	2.4324674047	90.0000000000	90.0000000000	90.0000000000
4	0.7797305854	0.4371916601	1.9581140980	-0.4396583792	90.0000000000	90.0000000000	90.0000000000
5	0.5817936395	0.3273928201	0.5725554767	-1.2082502594	90.0000000000	90.0000000000	90.0000000000
6	0.9390487111	0.7826186447	3.0733409778	1.9783305132	90.0000000000	90.0000000000	90.0000000000
7	0.1269229997	0.1328000836	-2.6115390023	-2.5703994145	90.0000000000	90.0000000000	90.0000000000
8	0.1134646510	0.3122387288	-2.7057474430	-1.3143288981	90.0000000000	90.0000000000	90.0000000000
9	0.9002986080	0.0575179022	2.8020902559	-3.0973746847	90.0000000000	90.0000000000	90.0000000000
10	0.7175221034	0.6796527223	1.5226547240	1.2575690563	90.0000000000	90.0000000000	90.0000000000
11	0.3954055624	0.8714921885	-0.7321610631	2.6004453194	90.0000000000	90.0000000000	90.0000000000
12	0.8039723777	0.7404458781	2.1278066439	1.6831211468	90.0000000000	90.0000000000	90.0000000000
13	0.9605948813	0.4223121209	3.2241641689	-0.5438151535	90.0000000000	90.0000000000	90.0000000000
14	0.2216682635	0.4987536694	-1.9483221553	-0.0087243140	90.0000000000	90.0000000000	90.0000000000
15	0.9139184089	0.5673544347	2.8974288622	0.4714810429	90.0000000000	90.0000000000	90.0000000000
