# gen=300 OSA snapshot
# x0..xd fitness
0.040145 0.468590 90.000000
0.731522 0.473454 87.976136
0.304301 0.275607 81.968092
0.050181 0.491219 85.837275
0.729953 0.517772 82.161684
0.750359 0.453701 82.095211
0.043672 0.434604 85.280115
0.724560 0.454262 84.782630
0.037636 0.488576 87.196375
0.747744 0.476729 83.418289
0.040145 0.442164 86.411082
0.026990 0.479202 86.047627
0.040145 0.465887 89.632916
0.048327 0.452219 86.809041
0.040145 0.455377 88.205541
0.744490 0.444089 82.690193
0.023505 0.503405 83.364735
0.737053 0.447123 84.208175
0.052887 0.506751 83.709691
0.043474 0.476428 88.585713
0.304409 0.273156 81.618976
0.063849 0.464715 83.347875
0.039572 0.457688 88.510804
0.721733 0.467626 85.104998
0.060217 0.439154 83.107044
0.731720 0.477345 87.492311
0.038517 0.472615 89.288559
0.731720 0.427884 82.006454
0.040145 0.470570 89.731094
0.040145 0.495009 86.412014
0.020072 0.484592 83.978837
0.719715 0.434731 81.897384
0.025436 0.489467 85.002885
0.726372 0.473608 86.520638
0.029367 0.470720 86.971089
0.731720 0.497678 84.821084
0.738113 0.485948 85.537361
0.040145 0.478469 88.658248
0.030109 0.465593 87.163017
0.743573 0.503919 82.762063
0.035089 0.460205 88.184176
0.730272 0.506821 83.603467
0.046618 0.440477 85.774241
0.040145 0.454016 88.020770
0.040145 0.507853 84.667684
0.050181 0.472160 87.150814
0.735716 0.513805 82.575843
0.041679 0.458626 88.580314
0.037118 0.468574 89.153199
0.738987 0.493978 84.593587
0.043805 0.497664 85.920754
0.728455 0.434447 82.792338
0.040145 0.475194 89.103036
0.033103 0.416961 82.716808
0.056046 0.484366 85.062499
0.731818 0.466134 87.031422
0.041909 0.451597 87.640057
0.731720 0.445004 84.256349
0.040145 0.500000 85.734147
0.053905 0.444861 84.979819
0.035127 0.440416 85.924276
0.030109 0.459773 86.947692
0.035643 0.479585 88.046488
0.060217 0.508707 82.175940
0.046071 0.412841 82.249263
0.037339 0.416651 82.902601
0.733136 0.458489 85.981710
0.039620 0.467472 89.788787
0.037900 0.460717 88.760035
0.735959 0.476353 86.713212
0.735351 0.451831 84.963168
0.040145 0.439443 86.041541
0.731522 0.489159 85.940574
0.032575 0.437946 85.330470
0.046306 0.500522 85.333281
0.040145 0.521532 82.809829
0.034315 0.495102 86.047241
0.033694 0.443559 86.151247
0.040139 0.484287 87.868155
0.040145 0.424841 84.058496
0.040145 0.492147 86.800610
0.721050 0.478638 84.940570
0.050174 0.424455 83.381897
0.024094 0.445106 84.492443
0.729507 0.461768 86.349285
0.035222 0.465568 88.562968
0.024430 0.454169 85.187374
0.037733 0.515047 83.654659
0.037836 0.446258 86.899029
0.031140 0.427759 83.909408
0.732206 0.510361 83.151437
0.060217 0.453727 84.032937
0.731720 0.470951 87.664797
0.040145 0.473453 89.339455
0.039885 0.481754 88.210740
0.040145 0.489664 87.137920
0.032101 0.452790 86.890574
0.049967 0.484023 86.544091
0.021600 0.464441 84.781639
0.040145 0.462764 89.208825
0.015577 0.495133 82.239185
0.045163 0.470767 88.565394
0.050181 0.509854 83.731911
0.731720 0.454979 85.567184
0.715237 0.481926 83.242245
0.040145 0.501959 85.468044
0.031022 0.511665 83.617384
0.030603 0.440547 85.349151
0.020072 0.426121 81.950253
0.032491 0.475962 87.636179
0.022284 0.514858 81.971889
0.020072 0.438882 83.085567
0.731720 0.481412 86.958350
0.727221 0.484287 86.115977
0.015103 0.481630 82.774137
0.049369 0.420783 83.013315
0.054958 0.434353 83.771668
0.032074 0.483678 86.950957
0.050181 0.477234 86.956804
0.731522 0.468631 87.361020
