# gen=10 OSA snapshot
# x0..xd fitness
0.040005 0.468517 89.959640
0.731720 0.477063 87.529223
0.304310 0.275582 81.964348
0.965756 0.275582 77.577316
0.040005 0.618697 74.750046
0.736705 0.624302 71.694568
0.052239 0.373697 76.675806
0.304310 0.865419 63.678671
0.729141 0.281224 62.723104
0.965756 0.689890 59.770422
0.304310 0.467470 53.065863
1.000000 0.414376 55.353670
0.107495 0.435905 70.643006
0.299539 0.190621 69.077655
0.019954 0.405186 79.701859
0.736676 0.322416 68.094437
0.292103 0.807094 56.180893
0.965756 0.676063 58.278447
0.046530 0.643345 71.342688
0.728884 0.668789 65.542879
0.299274 0.237173 75.958566
0.693862 0.349691 68.544247
0.041123 0.403532 81.160260
0.682208 0.296935 60.919903
0.300637 0.306927 77.126352
0.731720 0.500000 84.515883
0.000000 0.486298 78.514862
0.729804 0.364231 73.632399
0.040005 0.484259 87.871652
0.054251 0.702555 62.947205
0.000000 0.616172 65.635199
0.704426 0.247664 57.343940
1.000000 0.256766 65.740113
0.715862 0.481924 83.413895
0.016454 0.608852 69.226816
0.980600 0.397383 60.346124
0.670410 0.701195 53.532652
0.022478 0.526511 80.709932
0.033568 0.590055 70.677478
0.304310 0.385299 65.460009
0.011005 0.420784 79.578504
0.754364 0.584215 65.536542
0.156629 0.394141 55.881123
0.128501 0.401456 63.654356
1.000000 0.278694 66.135704
0.020200 0.646472 68.861539
0.081849 0.621019 65.715262
0.075071 0.355754 71.825849
0.000000 0.468517 78.769476
0.040005 0.673386 67.376815
0.110963 0.564985 57.432519
0.731991 0.219460 54.615551
0.074254 0.496378 79.738755
0.053688 0.320419 69.523196
0.000000 0.253787 58.740381
0.639183 0.443310 61.575064
0.738573 0.635030 70.433649
0.682722 0.431444 73.117966
0.315991 0.407869 61.655049
0.130713 0.640636 54.366178
0.000000 0.657304 64.203542
0.000000 0.735472 56.246106
0.337394 0.822585 56.092295
0.941788 0.321506 67.783149
0.040005 0.275582 63.787372
0.126057 0.331936 59.634397
0.646539 0.400104 62.091935
0.039610 0.427007 84.350585
0.019324 0.442803 83.203467
0.345010 0.166035 60.392352
0.754004 0.440460 80.323385
0.741622 0.246602 58.048534
0.691671 0.504492 75.998761
0.042190 0.203264 53.961353
0.900450 0.346121 53.595799
0.942985 0.223967 67.020035
0.087483 0.657405 63.139659
0.000000 0.354354 70.847329
0.107495 0.222752 51.663228
0.038895 0.372799 76.985859
0.138914 0.489685 62.221317
0.643500 0.493142 62.961311
0.152328 0.549819 56.734295
0.975518 0.360002 65.933466
0.737234 0.400331 78.254793
0.000000 0.480980 78.644120
0.368692 0.332761 58.383249
0.016088 0.550723 76.972555
0.000000 0.424167 77.251548
0.725138 0.705333 60.563225
0.946419 0.403486 59.069554
0.901905 0.269064 56.022859
0.731720 0.452776 85.277600
0.040005 0.492129 86.802840
0.123159 0.521278 65.699516
1.000000 0.683939 51.793438
0.098689 0.697317 57.918498
0.309060 0.360136 69.148469
1.000000 0.148271 56.027036
0.060008 0.445598 83.626158
0.373378 0.260631 58.304699
0.110439 0.253454 54.780969
0.985759 0.724681 53.662632
0.299684 0.923193 57.003663
0.657879 0.527797 65.971207
0.325423 0.445837 55.329097
0.024481 0.309474 67.950454
0.720683 0.593956 66.427569
0.945754 0.433871 54.909687
0.352858 0.376300 59.511562
0.347924 0.228493 65.483702
0.037049 0.719780 60.899829
0.736705 0.528719 80.600012
0.661923 0.478220 68.292789
0.306993 0.329619 73.803241
0.667259 0.621777 56.103299
0.773319 0.676752 61.276543
0.303716 0.116959 58.065029
1.000000 0.304180 65.589006
0.751722 0.724577 57.985911
