# x0..xd  joint_f  f_party0 .. f_party1
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
0.156767 0.278688 90.000000 90.000000 90.000000
