# Two-objective rank landscape D=2
# x0 x1 value
0.000000 0.000000 267.000000
0.000000 0.010101 267.000000
0.000000 0.020202 267.000000
0.000000 0.030303 267.000000
0.000000 0.040404 267.000000
0.000000 0.050505 267.000000
0.000000 0.060606 161.000000
0.000000 0.070707 130.000000
0.000000 0.080808 267.000000
0.000000 0.090909 267.000000
0.000000 0.101010 132.000000
0.000000 0.111111 132.000000
0.000000 0.121212 132.000000
0.000000 0.131313 132.000000
0.000000 0.141414 132.000000
0.000000 0.151515 132.000000
0.000000 0.161616 132.000000
0.000000 0.171717 132.000000
0.000000 0.181818 132.000000
0.000000 0.191919 132.000000
0.000000 0.202020 132.000000
0.000000 0.212121 132.000000
0.000000 0.222222 132.000000
0.000000 0.232323 132.000000
0.000000 0.242424 132.000000
0.000000 0.252525 132.000000
0.000000 0.262626 132.000000
0.000000 0.272727 132.000000
0.000000 0.282828 132.000000
0.000000 0.292929 132.000000
0.000000 0.303030 132.000000
0.000000 0.313131 132.000000
0.000000 0.323232 132.000000
0.000000 0.333333 132.000000
0.000000 0.343434 132.000000
0.000000 0.353535 132.000000
0.000000 0.363636 132.000000
0.000000 0.373737 132.000000
0.000000 0.383838 132.000000
0.000000 0.393939 132.000000
0.000000 0.404040 132.000000
0.000000 0.414141 132.000000
0.000000 0.424242 132.000000
0.000000 0.434343 132.000000
0.000000 0.444444 132.000000
0.000000 0.454545 132.000000
0.000000 0.464646 132.000000
0.000000 0.474747 132.000000
0.000000 0.484848 132.000000
0.000000 0.494949 132.000000
0.000000 0.505051 132.000000
0.000000 0.515152 132.000000
0.000000 0.525253 132.000000
0.000000 0.535354 132.000000
0.000000 0.545455 132.000000
0.000000 0.555556 132.000000
0.000000 0.565657 132.000000
0.000000 0.575758 132.000000
0.000000 0.585859 132.000000
0.000000 0.595960 132.000000
0.000000 0.606061 132.000000
0.000000 0.616162 132.000000
0.000000 0.626263 132.000000
0.000000 0.636364 132.000000
0.000000 0.646465 132.000000
0.000000 0.656566 132.000000
0.000000 0.666667 132.000000
0.000000 0.676768 132.000000
0.000000 0.686869 132.000000
0.000000 0.696970 132.000000
0.000000 0.707071 132.000000
0.000000 0.717172 132.000000
0.000000 0.727273 132.000000
0.000000 0.737374 132.000000
0.000000 0.747475 132.000000
0.000000 0.757576 132.000000
0.000000 0.767677 132.000000
0.000000 0.777778 132.000000
0.000000 0.787879 132.000000
0.000000 0.797980 132.000000
0.000000 0.808081 132.000000
0.000000 0.818182 132.000000
0.000000 0.828283 132.000000
0.000000 0.838384 132.000000
0.000000 0.848485 132.000000
0.000000 0.858586 132.000000
0.000000 0.868687 132.000000
0.000000 0.878788 132.000000
0.000000 0.888889 132.000000
0.000000 0.898990 132.000000
0.000000 0.909091 132.000000
0.000000 0.919192 132.000000
0.000000 0.929293 132.000000
0.000000 0.939394 132.000000
0.000000 0.949495 132.000000
0.000000 0.959596 132.000000
0.000000 0.969697 132.000000
0.000000 0.979798 132.000000
0.000000 0.989899 132.000000
0.000000 1.000000 132.000000
0.010101 0.000000 267.000000
0.010101 0.010101 267.000000
0.010101 0.020202 267.000000
0.010101 0.030303 267.000000
0.010101 0.040404 267.000000
0.010101 0.050505 267.000000
0.010101 0.060606 148.000000
0.010101 0.070707 131.000000
0.010101 0.080808 267.000000
0.010101 0.090909 267.000000
0.010101 0.101010 132.000000
0.010101 0.111111 132.000000
0.010101 0.121212 132.000000
0.010101 0.131313 132.000000
0.010101 0.141414 132.000000
0.010101 0.151515 132.000000
0.010101 0.161616 132.000000
0.010101 0.171717 132.000000
0.010101 0.181818 132.000000
0.010101 0.191919 132.000000
0.010101 0.202020 132.000000
0.010101 0.212121 132.000000
0.010101 0.222222 132.000000
0.010101 0.232323 132.000000
0.010101 0.242424 132.000000
0.010101 0.252525 132.000000
0.010101 0.262626 132.000000
0.010101 0.272727 132.000000
0.010101 0.282828 132.000000
0.010101 0.292929 132.000000
0.010101 0.303030 132.000000
0.010101 0.313131 132.000000
0.010101 0.323232 132.000000
0.010101 0.333333 132.000000
0.010101 0.343434 132.000000
0.010101 0.353535 132.000000
0.010101 0.363636 132.000000
0.010101 0.373737 132.000000
0.010101 0.383838 132.000000
0.010101 0.393939 132.000000
0.010101 0.404040 132.000000
0.010101 0.414141 132.000000
0.010101 0.424242 132.000000
0.010101 0.434343 132.000000
0.010101 0.444444 132.000000
0.010101 0.454545 132.000000
0.010101 0.464646 124.000000
0.010101 0.474747 114.000000
0.010101 0.484848 97.000000
0.010101 0.494949 74.000000
0.010101 0.505051 70.000000
0.010101 0.515152 71.000000
0.010101 0.525253 75.000000
0.010101 0.535354 85.000000
0.010101 0.545455 102.000000
0.010101 0.555556 122.000000
0.010101 0.565657 132.000000
0.010101 0.575758 132.000000
0.010101 0.585859 132.000000
0.010101 0.595960 132.000000
0.010101 0.606061 132.000000
0.010101 0.616162 132.000000
0.010101 0.626263 132.000000
0.010101 0.636364 132.000000
0.010101 0.646465 132.000000
0.010101 0.656566 132.000000
0.010101 0.666667 132.000000
0.010101 0.676768 132.000000
0.010101 0.686869 132.000000
0.010101 0.696970 132.000000
0.010101 0.707071 132.000000
0.010101 0.717172 132.000000
0.010101 0.727273 132.000000
0.010101 0.737374 132.000000
0.010101 0.747475 132.000000
0.010101 0.757576 132.000000
0.010101 0.767677 132.000000
0.010101 0.777778 132.000000
0.010101 0.787879 132.000000
0.010101 0.797980 132.000000
0.010101 0.808081 132.000000
0.010101 0.818182 132.000000
0.010101 0.828283 132.000000
0.010101 0.838384 132.000000
0.010101 0.848485 132.000000
0.010101 0.858586 132.000000
0.010101 0.868687 132.000000
0.010101 0.878788 132.000000
0.010101 0.888889 132.000000
0.010101 0.898990 132.000000
0.010101 0.909091 132.000000
0.010101 0.919192 132.000000
0.010101 0.929293 132.000000
0.010101 0.939394 132.000000
0.010101 0.949495 132.000000
0.010101 0.959596 132.000000
0.010101 0.969697 132.000000
0.010101 0.979798 132.000000
0.010101 0.989899 132.000000
0.010101 1.000000 132.000000
0.020202 0.000000 267.000000
0.020202 0.010101 267.000000
0.020202 0.020202 267.000000
0.020202 0.030303 267.000000
0.020202 0.040404 267.000000
0.020202 0.050505 267.000000
0.020202 0.060606 135.000000
0.020202 0.070707 132.000000
0.020202 0.080808 267.000000
0.020202 0.090909 267.000000
0.020202 0.101010 132.000000
0.020202 0.111111 132.000000
0.020202 0.121212 132.000000
0.020202 0.131313 132.000000
0.020202 0.141414 132.000000
0.020202 0.151515 132.000000
0.020202 0.161616 132.000000
0.020202 0.171717 132.000000
0.020202 0.181818 132.000000
0.020202 0.191919 132.000000
0.020202 0.202020 132.000000
0.020202 0.212121 132.000000
0.020202 0.222222 132.000000
0.020202 0.232323 132.000000
0.020202 0.242424 132.000000
0.020202 0.252525 112.000000
0.020202 0.262626 68.000000
0.020202 0.272727 44.000000
0.020202 0.282828 30.000000
0.020202 0.292929 17.000000
0.020202 0.303030 14.000000
0.020202 0.313131 10.000000
0.020202 0.323232 18.000000
0.020202 0.333333 37.000000
0.020202 0.343434 53.000000
0.020202 0.353535 78.000000
0.020202 0.363636 104.000000
0.020202 0.373737 120.000000
0.020202 0.383838 132.000000
0.020202 0.393939 132.000000
0.020202 0.404040 132.000000
0.020202 0.414141 132.000000
0.020202 0.424242 132.000000
0.020202 0.434343 132.000000
0.020202 0.444444 132.000000
0.020202 0.454545 132.000000
0.020202 0.464646 132.000000
0.020202 0.474747 132.000000
0.020202 0.484848 132.000000
0.020202 0.494949 132.000000
0.020202 0.505051 132.000000
0.020202 0.515152 132.000000
0.020202 0.525253 132.000000
0.020202 0.535354 132.000000
0.020202 0.545455 132.000000
0.020202 0.555556 132.000000
0.020202 0.565657 132.000000
0.020202 0.575758 132.000000
0.020202 0.585859 132.000000
0.020202 0.595960 132.000000
0.020202 0.606061 132.000000
0.020202 0.616162 132.000000
0.020202 0.626263 132.000000
0.020202 0.636364 132.000000
0.020202 0.646465 132.000000
0.020202 0.656566 132.000000
0.020202 0.666667 132.000000
0.020202 0.676768 132.000000
0.020202 0.686869 132.000000
0.020202 0.696970 132.000000
0.020202 0.707071 132.000000
0.020202 0.717172 132.000000
0.020202 0.727273 132.000000
0.020202 0.737374 132.000000
0.020202 0.747475 132.000000
0.020202 0.757576 132.000000
0.020202 0.767677 132.000000
0.020202 0.777778 132.000000
0.020202 0.787879 132.000000
0.020202 0.797980 132.000000
0.020202 0.808081 132.000000
0.020202 0.818182 132.000000
0.020202 0.828283 132.000000
0.020202 0.838384 132.000000
0.020202 0.848485 132.000000
0.020202 0.858586 132.000000
0.020202 0.868687 132.000000
0.020202 0.878788 132.000000
0.020202 0.888889 132.000000
0.020202 0.898990 132.000000
0.020202 0.909091 132.000000
0.020202 0.919192 132.000000
0.020202 0.929293 132.000000
0.020202 0.939394 132.000000
0.020202 0.949495 132.000000
0.020202 0.959596 132.000000
0.020202 0.969697 132.000000
0.020202 0.979798 132.000000
0.020202 0.989899 132.000000
0.020202 1.000000 132.000000
0.030303 0.000000 267.000000
0.030303 0.010101 267.000000
0.030303 0.020202 267.000000
0.030303 0.030303 267.000000
0.030303 0.040404 267.000000
0.030303 0.050505 267.000000
0.030303 0.060606 121.000000
0.030303 0.070707 134.000000
0.030303 0.080808 267.000000
0.030303 0.090909 267.000000
0.030303 0.101010 3043.000000
0.030303 0.111111 3043.000000
0.030303 0.121212 3043.000000
0.030303 0.131313 3043.000000
