# gen=50 mediating population
# x0..xd fitness
0.148382 0.214460 89.915331
0.221266 0.144752 52.410464
0.107852 0.583061 50.571420
0.843632 0.622812 28.187514
0.946085 0.507609 54.996912
0.148382 0.359968 46.821819
0.837199 0.359968 64.883515
0.843556 0.206050 45.252664
0.387150 0.818011 74.977881
0.430325 0.267749 0.000000
0.974057 0.608013 37.323918
0.255968 0.915198 30.150576
0.875445 0.498901 42.182471
0.810354 0.201565 43.446251
0.148382 0.714421 40.985589
0.261082 0.316857 32.780277
0.513186 0.555572 0.000000
0.099546 0.874623 48.828824
0.924894 0.138955 27.422590
0.916048 0.552677 45.667005
0.246657 0.716679 0.000000
0.975115 0.295438 25.183389
0.837054 0.214460 46.418427
0.028526 0.394810 15.805094
0.621999 0.247885 -0.000000
0.148382 0.214460 89.915331
0.152724 0.244100 80.991356
0.934810 0.139184 25.544015
0.837054 0.714421 14.949682
0.946085 0.507609 54.996912
0.326221 0.962278 25.635847
0.690381 0.750051 0.000000
0.148382 0.714421 40.985589
0.325224 0.266044 0.000000
0.644404 0.308242 -0.000000
0.837054 0.359968 64.924321
0.387150 0.838924 68.176703
0.118408 0.182723 74.118376
0.426484 0.301738 0.000000
0.428569 0.876895 53.312464
0.047393 0.406681 18.395560
0.066569 0.572745 55.755447
0.737950 0.033044 -0.000000
0.009169 0.731319 50.237324
0.206618 0.321515 49.516410
0.521564 0.601176 0.000000
0.586186 0.541862 0.000000
0.921016 0.976270 0.000000
0.107682 0.807555 55.263167
0.588632 0.045296 -0.000000
0.722665 0.684534 0.000000
0.003791 0.912819 33.204810
0.395136 0.037893 0.000000
0.837199 0.714421 14.962508
0.582907 0.503415 0.000000
0.383763 0.820614 73.840256
0.682162 0.967206 0.000000
0.760819 0.327208 0.000000
0.056751 0.595973 58.841924
0.740027 0.881569 0.000000
0.738617 0.870516 0.000000
0.837199 0.359968 64.883515
0.137460 0.698678 46.262512
0.954228 0.353235 31.916518
0.714109 0.648091 0.000000
0.561527 0.991330 4.409129
0.213207 0.053381 34.641463
0.947750 0.325498 33.442980
0.089723 0.183386 63.253055
0.743394 0.542399 17.991836
0.299609 0.365612 0.000000
0.531875 0.524427 0.000000
0.148382 0.714421 40.985589
0.968915 0.194016 22.180107
0.957225 0.861865 0.000000
0.260510 0.748582 36.915174
0.837199 0.359968 64.883515
0.387150 0.818011 74.977881
0.199059 0.976186 6.194886
0.164445 0.439961 13.655250
0.946085 0.507609 54.996912
0.406198 0.450963 0.000000
0.151842 0.242583 81.508638
0.025722 0.057515 19.750342
0.057508 0.591302 58.179293
0.188109 0.942309 9.650499
0.276999 0.300986 29.011222
0.946085 0.507609 54.996912
0.809145 0.119450 33.317462
0.421286 0.385040 0.000000
0.314496 0.621930 0.000000
0.590548 0.566150 0.000000
0.470205 0.701499 0.000000
0.998203 0.981506 0.000000
0.482845 0.571005 0.000000
0.604191 0.755975 0.000000
0.825950 0.327756 59.875690
0.867139 0.653516 26.564320
0.875948 0.409343 52.299170
0.924464 0.787286 0.000000
0.177153 0.233269 76.364552
0.387150 0.818011 74.977881
0.068508 0.618846 63.662574
0.847914 0.381785 60.809877
0.439487 0.642325 0.000000
0.670508 0.198779 -0.000000
0.359808 0.312154 0.000000
0.148382 0.214460 89.915331
0.793528 0.082930 -0.000000
0.837199 0.359968 64.883515
0.884797 0.243767 44.924772
0.796294 0.780425 0.000000
0.896936 0.749882 0.000000
0.078398 0.714078 75.489901
0.158123 0.394991 36.259564
0.003481 0.963261 26.541024
0.925733 0.912795 0.000000
0.143048 0.066577 46.061311
