# gen=300 mediating population
# x0..xd fitness
0.148184 0.214461 90.000000
0.124236 0.478527 31.427687
0.148184 0.214461 90.000000
0.929772 0.016196 13.888663
0.148184 0.214461 90.000000
0.034793 0.014334 13.200574
0.499509 0.080837 0.000000
0.563000 0.769368 29.603168
0.306792 0.144443 0.000000
0.148184 0.214461 90.000000
0.201020 0.777728 28.146263
0.148184 0.214461 90.000000
0.666714 0.067814 -0.000000
0.075332 0.127377 49.420598
0.879132 0.317841 51.916609
0.148184 0.214461 90.000000
0.461210 0.194723 0.000000
0.148184 0.214461 90.000000
0.327141 0.279789 0.000000
0.669694 0.207560 -0.000000
0.148184 0.214461 90.000000
0.969637 0.437553 26.300443
0.148184 0.214461 90.000000
0.939177 0.170834 27.387728
0.641702 0.088653 -0.000000
0.148184 0.214461 90.000000
0.455338 0.244269 0.000000
0.148184 0.214461 90.000000
0.069251 0.714427 79.994209
0.653986 0.937970 0.000000
0.262790 0.873849 39.863092
0.219298 0.935134 19.254673
0.148184 0.214461 90.000000
0.008406 0.828643 44.217207
0.148184 0.214461 90.000000
0.198500 0.391254 33.262150
0.148184 0.214461 90.000000
0.770402 0.488495 23.165181
0.225178 0.088913 40.187382
0.133673 0.018576 31.539689
0.148184 0.214461 90.000000
0.727480 0.628491 0.000000
0.148184 0.214461 90.000000
0.813094 0.083689 29.097431
0.148184 0.214461 90.000000
0.387066 0.818039 75.000000
0.801293 0.653650 19.104520
0.148184 0.214461 90.000000
0.858032 0.128702 34.869628
0.148184 0.214461 90.000000
0.892299 0.724358 17.164034
0.148184 0.214461 90.000000
0.078393 0.998350 31.296039
0.419521 0.678356 0.000000
0.705967 0.513392 0.000000
0.949854 0.147144 23.138973
0.148184 0.214461 90.000000
0.861123 0.670710 23.505411
0.548730 0.477674 0.000000
0.148184 0.214461 90.000000
0.140801 0.360253 46.621481
0.148184 0.214461 90.000000
0.413460 0.982849 20.779904
0.148184 0.214461 90.000000
0.693227 0.144650 -0.000000
0.148184 0.214461 90.000000
0.017479 0.770946 52.711376
0.148184 0.214461 90.000000
0.193221 0.444565 3.439235
0.148184 0.214461 90.000000
0.464154 0.491013 0.000000
0.877090 0.614689 33.066386
0.148184 0.214461 90.000000
0.000875 0.220249 26.712811
0.156790 0.346758 50.568260
0.705069 0.879055 0.000000
0.148184 0.214461 90.000000
0.855700 0.685620 20.829572
0.572006 0.818061 30.302314
0.603546 0.865096 0.000000
0.148184 0.214461 90.000000
0.849251 0.339188 60.597472
0.097836 0.036743 33.002958
0.111625 0.679711 58.281065
0.628320 0.859998 0.000000
0.148184 0.214461 90.000000
0.200679 0.860503 27.864902
0.869116 0.235364 46.667047
0.148184 0.214461 90.000000
0.610504 0.637732 0.000000
0.148184 0.214461 90.000000
0.808138 0.527149 29.915184
0.010121 0.341736 19.700254
0.994815 0.065603 6.749387
0.148184 0.214461 90.000000
0.488948 0.261088 0.000000
0.148184 0.214461 90.000000
0.281870 0.657945 0.000000
0.148184 0.214461 90.000000
0.253277 0.452638 0.000000
0.148184 0.214461 90.000000
