# gen=0 CA size=177
# x0..x(D-1) consensus
0.448931 0.226083 46.963559
0.361981 0.911756 75.922511
0.381930 0.276547 26.186441
0.473401 0.794609 26.186441
0.462351 0.321177 76.045034
0.473463 0.345814 66.999615
0.440000 0.921188 31.725918
0.052340 0.274017 20.511468
0.413800 0.220869 84.932369
0.523675 0.838376 55.884012
0.448791 0.348730 64.900597
0.155305 0.569686 28.049383
0.796024 0.557519 28.035908
0.449906 0.237946 53.858412
0.369488 0.065922 37.430795
0.486844 0.524260 26.186441
0.436041 0.292425 86.587830
0.303483 0.386018 26.186441
0.387772 0.101788 45.563754
0.387890 0.566313 26.186441
0.442003 0.878963 85.476110
0.400640 0.622617 26.186441
0.258643 0.740721 26.186441
0.579002 0.734637 26.186441
0.365734 0.488839 26.186441
0.415918 0.257247 81.219408
0.451978 0.561359 26.186441
0.410615 0.305013 46.660990
0.268617 0.423117 26.186441
0.588977 0.417033 26.186441
0.375709 0.171235 55.947802
0.443600 0.507739 26.186441
0.497714 0.820390 37.050262
0.314353 0.682148 22.508641
0.634713 0.676064 22.508641
0.467462 0.588681 26.186441
0.438527 0.407522 28.607003
0.503715 0.577523 26.186441
0.320354 0.439281 26.186441
0.421011 0.171918 51.835129
0.306793 0.466833 26.186441
0.480975 0.869623 66.149383
0.439650 0.627334 26.186441
0.297652 0.745437 26.186441
0.618012 0.739354 26.186441
0.404744 0.493555 26.186441
0.233070 0.247443 26.186441
0.287183 0.560094 26.186441
0.245820 0.303748 26.186441
0.210914 0.169969 26.186441
0.529235 0.799807 26.186441
0.253398 0.814934 26.186441
0.473106 0.926345 26.186441
0.419170 0.098991 26.186441
0.215421 0.692180 20.949735
0.780403 0.475067 27.436200
0.502270 0.987379 26.186441
0.627856 0.830260 28.035908
0.280611 0.771422 26.186441
0.234099 0.991463 20.949735
0.311653 0.331803 26.186441
0.436556 0.710000 26.186441
0.192093 0.550576 26.186441
0.009301 0.078718 20.511468
0.483653 0.484335 31.923669
0.705863 0.879448 26.186441
0.158070 0.347548 22.535710
0.080362 0.043069 20.511468
0.010928 0.617959 20.933170
0.000065 0.381578 20.511468
0.336606 0.143078 26.542262
0.208225 0.635593 26.186441
0.140626 0.758832 23.780233
0.023355 0.530305 20.933170
0.781191 0.947909 26.186441
0.166655 0.135975 22.535710
0.777975 0.203531 24.405185
0.225454 0.748500 20.949735
0.176387 0.974483 23.780233
0.790234 0.614352 28.035908
0.535518 0.240360 26.186441
0.180598 0.183145 22.535710
0.407518 0.666861 28.035908
0.746259 0.159135 21.095289
0.938093 0.834436 26.186441
0.578710 0.805751 34.570964
0.199440 0.829864 23.329803
0.139305 0.161428 22.535710
0.515433 0.070756 26.186441
0.956296 0.997309 26.186441
0.394146 0.833729 26.363057
0.172429 0.447441 20.253740
0.345003 0.817120 26.186441
0.252472 0.898997 26.186441
0.458226 0.000748 26.186441
0.648705 0.884752 26.186441
0.587761 0.859777 26.323944
0.197156 0.033751 26.186441
0.960140 0.805257 26.186441
0.352325 0.737055 26.186441
0.167939 0.668339 23.780233
0.339962 0.531841 26.186441
0.583885 0.304978 26.186441
0.993846 0.691528 26.186441
0.532391 0.529290 28.035908
0.018824 0.305138 20.511468
0.237561 0.146689 26.186441
0.571628 0.017381 26.186441
0.696502 0.708427 26.186441
0.743285 0.255779 21.793091
0.151262 0.875575 23.780233
0.357015 0.111668 49.003927
0.303223 0.072681 26.186441
0.976501 0.887726 26.186441
0.177095 0.716242 23.780233
0.815528 0.407224 22.047214
0.249169 0.001770 26.186441
0.030470 0.134983 20.511468
0.320038 0.266456 26.186441
0.694208 0.994724 26.186441
0.251324 0.564120 26.186441
0.703920 0.831625 26.186441
0.855279 0.940156 26.186441
0.472560 0.063340 26.186441
0.191569 0.781838 28.035908
0.062023 0.832530 25.178633
0.004738 0.568586 20.933170
0.557556 0.955749 26.186441
0.388295 0.888326 78.988599
0.095061 0.311163 23.561873
0.294255 0.614723 26.186441
0.734903 0.846257 26.186441
0.570265 0.580502 26.298936
0.006928 0.840788 20.933170
0.787585 0.256227 27.436200
0.870768 0.912504 26.186441
0.766299 0.279155 27.436200
0.922249 0.753993 26.186441
0.837959 0.833757 26.186441
0.400058 0.992275 26.186441
0.003393 0.949756 20.933170
0.049474 0.160972 20.511468
0.788073 0.653080 28.035908
0.533288 0.985901 26.186441
0.648590 0.932290 26.186441
0.574921 0.155261 26.186441
0.231129 0.590554 26.186441
0.692448 0.670348 29.164692
0.603560 0.555033 26.186441
0.462548 0.973370 26.186441
0.092284 0.103085 22.535710
0.336290 0.994622 26.186441
0.246455 0.182786 26.186441
0.331006 0.643141 26.186441
0.263985 0.702702 26.186441
0.747220 0.722278 26.186441
0.830674 0.918037 26.186441
0.190090 0.475044 26.186441
0.343553 0.244938 26.186441
0.318401 0.588179 26.186441
0.138431 0.969811 28.049383
0.609004 0.090396 26.186441
0.229463 0.337311 26.186441
0.489782 0.228947 26.186441
0.512577 0.387855 26.186441
0.173595 0.279640 22.535710
0.540111 0.576369 26.186441
0.380361 0.769551 26.186441
0.144657 0.520926 20.253740
0.277177 0.875491 26.186441
0.352794 0.577957 26.186441
0.679341 0.933158 26.186441
0.559596 0.098992 26.186441
0.577147 0.347959 26.186441
0.971911 0.727835 26.186441
0.061128 0.092067 31.532431
0.523197 0.719796 26.186441
