# gen=10 OSA snapshot
# x0..xd fitness
0.297421 0.191577 89.999861
0.379505 0.845999 69.999163
0.858231 0.075005 59.999999
0.372796 0.186543 59.304934
0.639389 0.562497 54.998914
0.972652 0.468956 44.999380
0.376407 0.777168 40.875296
0.285958 0.724024 39.198378
0.290109 0.825118 37.077219
0.639389 0.517160 38.500372
0.972652 0.562497 30.019923
0.276439 0.603559 33.559787
0.899796 0.078598 36.362251
0.835516 0.170533 30.177805
0.247055 0.562043 31.372447
0.153405 0.686215 30.889377
0.363920 0.612175 29.025864
0.274237 0.567577 31.166502
0.317807 0.218505 76.654576
0.248265 0.743743 72.695198
0.682944 0.597979 31.258001
0.830657 0.125265 34.509778
0.856058 0.017965 34.436963
0.252247 0.681616 40.106125
0.407635 0.933223 38.019677
0.410345 0.870403 40.561527
0.234544 0.731570 57.122943
0.240540 0.210455 66.578163
0.310414 0.151548 67.019235
0.367509 0.971303 36.501347
0.235928 0.882184 35.832076
0.342438 0.101661 30.344222
0.398218 0.739468 37.512372
0.328499 0.180883 82.152495
0.630356 0.587530 42.724329
0.363629 0.788015 41.280253
0.248146 0.189930 75.185741
0.424224 0.824943 38.577758
0.347981 0.734633 36.365036
0.182826 0.650393 33.416130
0.280865 0.189787 88.138003
0.224968 0.845655 37.956878
0.254542 0.099975 30.314562
0.658010 0.670685 31.661879
0.833686 0.000000 32.211146
0.212403 0.787083 39.875454
0.197076 0.611988 32.773308
0.636819 0.417635 30.205025
0.210624 0.734983 40.033915
0.678776 0.551547 32.200668
0.201416 0.189483 46.932295
0.271042 0.212788 78.838220
0.251294 0.761147 71.411989
0.380030 0.986058 35.659869
0.797922 0.154595 30.240169
0.176857 0.895034 30.824406
0.293594 0.171263 83.572681
0.908232 0.000000 31.189880
0.765188 0.069475 31.380663
0.255974 0.809392 41.012956
0.639389 0.468956 33.201212
0.278610 0.637579 35.682908
0.355672 0.210485 65.864136
0.435747 0.905382 36.049600
0.382933 0.237530 39.103189
0.414692 0.132834 30.314662
0.391033 0.660925 32.459073
0.387019 0.716184 36.336918
0.952340 0.130882 29.583217
0.381721 0.873138 61.382385
0.229177 0.677433 39.334497
0.374519 0.642639 31.285144
0.356297 0.158805 58.051805
1.000000 0.448696 29.922968
0.484502 0.822517 29.667651
0.382158 0.814540 59.147647
0.301741 0.123833 42.073115
0.342736 0.260723 36.893197
0.181887 0.770625 35.871304
0.674156 0.651802 30.963027
0.610849 0.508598 33.014128
0.859418 0.000000 32.562096
0.277490 0.275127 32.280420
0.650513 0.615709 35.018467
0.160663 0.850787 30.920000
0.412370 0.698794 34.085902
0.220901 0.957270 29.963784
0.972652 0.531936 31.415144
0.411330 0.190689 38.047313
0.972652 0.075005 29.329865
0.319608 0.960836 33.415588
0.431498 0.777529 36.317274
0.776234 0.113356 31.512687
0.233087 0.637496 36.714804
0.307427 0.689949 35.278604
0.202990 0.204951 46.559583
0.420547 0.633502 29.452761
0.281984 0.745946 40.139132
0.941740 0.438304 29.264304
0.825973 0.075981 38.800204
0.393354 1.000000 34.496619
1.000000 0.482473 29.974187
0.337052 0.909476 37.672226
0.221718 0.896288 34.310839
0.226800 0.145273 44.379878
0.430979 1.000000 32.229973
0.341242 0.857599 39.628359
0.868167 0.140617 33.476578
0.357175 0.684370 33.714303
0.912993 0.154780 30.521881
0.292654 0.878101 33.974316
0.478357 0.772522 29.814869
0.387481 0.906009 42.575979
0.605942 0.571018 33.145198
0.800205 0.000000 30.759731
0.251244 0.597346 33.949445
0.932494 0.033185 31.991072
0.346919 0.982477 34.736251
0.136878 0.742829 29.291321
0.622816 0.660107 32.346470
