# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142864 0.2428571442 -2.1999999949 -1.7999999904 90.0000000000 89.0000000000 89.0000000000
0.1857142835 0.2428571437 -2.2000000153 -1.7999999942 90.0000000000 89.0000000000 89.0000000000
0.1857142835 0.2428571437 -2.2000000153 -1.7999999942 90.0000000000 89.0000000000 89.0000000000
0.1857142835 0.2428571437 -2.2000000153 -1.7999999942 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
0.1857142845 0.2428571451 -2.2000000082 -1.7999999842 90.0000000000 89.0000000000 89.0000000000
