# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus
0.1859614998 0.2407434841 -2.1982695014 -1.8147956116 89.9912179959 88.9735508082 88.9735508082
0.1863572212 0.2462896949 -2.1954994517 -1.7759721355 89.9730071346 88.9288137070 88.9288137070
0.1853932117 0.2485501153 -2.2022475181 -1.7601491927 89.9414808801 88.8102532928 88.8102532928
0.1869048882 0.2367390554 -2.1916657823 -1.8428266124 89.9126906928 88.7734504369 88.7734504369
0.1884356502 0.2389102513 -2.1809504488 -1.8276282410 89.8601128083 88.8665283990 88.8665283990
0.1855379371 0.2326376893 -2.2012344402 -1.8715361748 89.8161341129 88.3917290163 88.3917290163
0.1830252598 0.2514848110 -2.2188231815 -1.7396063230 89.7595237626 88.5248213685 88.5248213685
0.1824307188 0.2523751626 -2.2229849682 -1.7333738615 89.6773865004 88.4107101699 88.4107101699
0.1862090428 0.2569205231 -2.1965367004 -1.7015563383 89.6493050415 87.8505476077 87.8505476077
0.1838660150 0.2562538421 -2.2129378947 -1.7062231056 89.6333263920 87.9381819620 87.9381819620
0.1827059793 0.2551838409 -2.2210581448 -1.7137131137 89.5962005802 88.0651781582 88.0651781582
0.1905024425 0.2366257346 -2.1664829025 -1.8436198580 89.5840880270 88.6421082661 88.6421082661
0.1827790149 0.2298662511 -2.2205468954 -1.8909362422 89.5733483193 87.9704821580 87.9704821580
0.1913861075 0.2389209106 -2.1602972472 -1.8275536255 89.4850732155 88.7250428078 88.7250428078
0.1797740161 0.2467821483 -2.2415818874 -1.7725249620 89.4381102646 88.7077010314 88.7077010314
0.1843411391 0.2250405157 -2.2096120264 -1.9247163900 89.4152502218 87.1539636098 87.1539636098
0.1794809190 0.2468124815 -2.2436335672 -1.7723126295 89.3837920881 88.6858756292 88.6858756292
0.1812753491 0.2581496335 -2.2310725566 -1.6929525655 89.2920949827 87.5326610999 87.5326610999
0.1895000243 0.2608042507 -2.1734998298 -1.6743702448 89.2192873319 87.0572809754 87.0572809754
0.1928591450 0.2397468676 -2.1499859851 -1.8217719270 89.2102300393 88.6508197320 88.6508197320
0.1797799742 0.2302569741 -2.2415401805 -1.8882011814 89.1891024207 87.8771886723 87.8771886723
0.1865180523 0.2642824167 -2.1943736336 -1.6500230832 89.1869605876 86.3544243547 86.3544243547
0.1796436726 0.2550835832 -2.2424942917 -1.7144149175 89.1806083416 87.9214414080 87.9214414080
0.1886210006 0.2632536558 -2.1796529957 -1.6572244092 89.1443370461 86.5550526866 86.5550526866
0.1932645618 0.2404526686 -2.1471480672 -1.8168313198 89.1272534892 88.6393716642 88.6393716642
0.1910766387 0.2591314224 -2.1624635291 -1.6860800432 89.1017068753 87.3037232176 87.3037232176
0.1825480276 0.2644901423 -2.2221638069 -1.6485690037 89.0301872842 86.2514874203 86.2514874203
0.1777977649 0.2391850270 -2.2554156455 -1.8257048111 89.0285980534 88.5621635621 88.5621635621
0.1857149477 0.2176706298 -2.1999953658 -1.9763055913 88.8917927225 85.3698248507 85.3698248507
0.1867099484 0.2679303611 -2.1930303609 -1.6244874721 88.8867901414 85.3962761726 85.3962761726
0.1847198804 0.2687984568 -2.2069608373 -1.6184108026 88.8099782066 85.1483866938 85.1483866938
0.1803185334 0.2649784397 -2.2377702664 -1.6451509220 88.7064873999 86.0245097526 86.0245097526
0.1940424251 0.2554431281 -2.1417030241 -1.7118981030 88.6767190892 87.6857412319 87.6857412319
0.1934125401 0.2599703115 -2.1461122194 -1.6802078195 88.5951318386 86.9718629295 86.9718629295
0.1798921562 0.2661604226 -2.2407549069 -1.6368770418 88.5419321406 85.6953691072 85.6953691072
0.1759751874 0.2500699662 -2.2681736885 -1.7495102367 88.4792560756 88.1550339126 88.1550339126
0.1817081138 0.2150189333 -2.2280432035 -1.9948674668 88.4079574073 84.4978563767 84.4978563767
0.1949221227 0.2565491089 -2.1355451414 -1.7041562376 88.3957052398 87.4314796183 87.4314796183
0.1947061184 0.2276583716 -2.1370571715 -1.9063913990 88.3792607934 87.2041080248 87.2041080248
0.1857828242 0.2116888873 -2.1995202308 -2.0181777891 88.3083834123 83.5013593741 83.5013593741
0.1869360754 0.2108143387 -2.1914474725 -2.0242996290 88.1909118759 83.1908867872 83.1908867872
0.1950162325 0.2251155315 -2.1348863727 -1.9241912798 88.1502588664 86.6941527365 86.6941527365
0.1855946293 0.2097042235 -2.2008375946 -2.0320704357 88.0883370126 82.8044746230 82.8044746230
0.1742832277 0.2425477525 -2.2800174061 -1.8021657324 88.0346552232 88.2517292442 88.0346552232
0.1743101881 0.2404095289 -2.2798286835 -1.8171332980 88.0336761056 88.2210897194 88.0336761056
0.1750117800 0.2308141711 -2.2749175403 -1.8843008022 88.0252953915 87.5070869142 87.5070869142
0.1835512279 0.2761508848 -2.2151414044 -1.5669438063 88.0028579058 82.7287069997 82.7287069997
0.4994535728 0.7423594097 -0.0038249901 1.6965158679 87.9971187267 89.9961573221 87.9971187267
0.4989346989 0.7432815044 -0.0074571080 1.7029705305 87.9942842663 89.9918736041 87.9942842663
0.4986544361 0.7446286933 -0.0094189471 1.7124008530 87.9712843797 89.9627858839 87.9712843797
0.1744188875 0.2511369391 -2.2790677878 -1.7420414265 87.9628310935 87.8734951087 87.8734951087
0.5017413865 0.7447862614 0.0121897052 1.7135038295 87.9624576424 89.9507304004 87.9624576424
0.5023762590 0.7444549943 0.0166338131 1.7111849598 87.9601763942 89.9454828220 87.9601763942
0.4977118692 0.7451648437 -0.0160169153 1.7161539058 87.9427480189 89.9243001649 87.9427480189
0.1898213392 0.2104256076 -2.1712506253 -2.0270207468 87.9190664951 82.9717162039 82.9717162039
0.1861412632 0.2081883419 -2.1970111577 -2.0426816068 87.9091377584 82.2466070545 82.2466070545
0.1824994613 0.2763132205 -2.2225037709 -1.5658074564 87.9001923573 82.6396938660 82.6396938660
0.4991463895 0.7467693034 -0.0059752735 1.7273851239 87.8919694450 89.8656541447 87.8919694450
0.1790138192 0.2717106272 -2.2469032654 -1.5980256094 87.8792733001 84.0225460035 84.0225460035
0.4977270695 0.7386876380 -0.0159105138 1.6708134663 87.8602064923 89.8222487859 87.8602064923
0.4955948841 0.7397734668 -0.0308358115 1.6784142674 87.8581730082 89.8065451672 87.8581730082
0.4936876378 0.7437829040 -0.0441865351 1.7064803281 87.8370386561 89.7614824946 87.8370386561
0.4990467755 0.7378443241 -0.0066725717 1.6649102688 87.8238339346 89.7811990485 87.8238339346
0.5049603314 0.7465295496 0.0347223199 1.7257068470 87.8104006879 89.7426496427 87.8104006879
0.1872702542 0.2070958797 -2.1891082208 -2.0503288421 87.7439341357 81.8203991443 81.8203991443
0.5019616684 0.7488074390 0.0137316791 1.7416520728 87.7417795341 89.6769918438 87.7417795341
0.4966642154 0.7363623473 -0.0233504921 1.6545364310 87.6667232140 89.5774542304 87.6667232140
0.4916834034 0.7398533432 -0.0582161764 1.6789734026 87.6656968656 89.5225874239 87.6656968656
0.1788203271 0.2119853400 -2.2482577100 -2.0161026200 87.6336597428 83.3461129879 83.3461129879
0.1824717116 0.2070128845 -2.2226980185 -2.0509098086 87.6138650479 81.7457571649 81.7457571649
0.5090483552 0.7459103964 0.0633384862 1.7213727750 87.6137132937 89.4466369254 87.6137132937
0.1947619688 0.2168545548 -2.1366662187 -1.9820181164 87.5993105543 84.6872403886 84.6872403886
0.1750979682 0.2225624043 -2.2743142225 -1.9420631699 87.5949092666 85.9977420298 85.9977420298
0.5077400568 0.7481658318 0.0541803974 1.7371608224 87.5709157294 89.4140220472 87.5709157294
0.1809879878 0.2783110668 -2.2330840856 -1.5518225324 87.4865578453 81.8327443018 81.8327443018
0.5110722627 0.7404900228 0.0775058386 1.6834301595 87.4793002506 89.2431354899 87.4793002506
0.5098404342 0.7475781134 0.0688830391 1.7330467938 87.4663186801 89.2508187751 87.4663186801
0.5072985016 0.7503151784 0.0510895110 1.7522062491 87.4094070353 89.2206316476 87.4094070353
0.5127842217 0.7425670049 0.0894895516 1.6979690346 87.3569107112 89.0545643201 87.3569107112
0.1954645277 0.2162754146 -2.1317483063 -1.9860720977 87.3520926573 84.4460660626 84.4460660626
0.4870058431 0.7435711408 -0.0909590983 1.7049979855 87.3328120375 89.0198707906 87.3328120375
0.5131698594 0.7451706794 0.0921890160 1.7161947556 87.2817848708 88.9527218792 87.2817848708
0.1728692663 0.2300400407 -2.2899151358 -1.8897197149 87.2453609143 87.1123790579 87.1123790579
0.1739188767 0.2625992047 -2.2825678629 -1.6618055671 87.2423894779 85.9759358531 85.9759358531
0.5118981024 0.7486572055 0.0832867165 1.7406004387 87.2136807377 88.8979674146 87.2136807377
0.1749207858 0.2180911132 -2.2755544997 -1.9733622078 87.1949840782 84.8469993920 84.8469993920
0.4855551209 0.7432817050 -0.1011141536 1.7029719353 87.1793218353 88.7941365653 87.1793218353
0.5147622377 0.7406471056 0.1033356636 1.6845297395 87.1110778915 88.7015594567 87.1110778915
0.5102100182 0.7344165265 0.0714701271 1.6409156854 87.1034773558 88.7962327359 87.1034773558
0.4890799760 0.7508398069 -0.0764401680 1.7558786486 87.0960660862 88.7733552775 87.0960660862
0.4943562279 0.7172047810 -0.0395064045 1.5204334671 83.4709760301 84.3983126727 83.4709760301
0.1827376140 0.1812806483 -2.2208367021 -2.2310354618 83.4507533133 69.3491574783 69.3491574783
0.5345447361 0.7349101360 0.2418131527 1.6443709521 83.0046319239 82.8299993269 82.8299993269
0.4642959987 0.7382115361 -0.2499280094 1.6674807524 82.9711443313 82.7200663361 82.7200663361
0.1769742718 0.3030848004 -2.2611800977 -1.3784063974 82.7692357349 69.7961869667 69.7961869667
0.5286326191 0.7612581881 0.2004283334 1.8288073168 82.6095057756 82.6709687294 82.6095057756
0.4901350873 0.7710168105 -0.0690543889 1.8971176733 82.3536550924 82.9772249050 82.3536550924
0.5241270713 0.7201092016 0.1688894993 1.5407644110 82.3360388753 82.5420411676 82.3360388753
0.4733738562 0.7149180329 -0.1863830067 1.5044262303 80.2033470151 79.8575889082 79.8575889082
0.2018156071 0.1745621413 -2.0872907504 -2.2780650106 78.6423014976 64.4382641367 64.4382641367
0.1633245721 0.1899996283 -2.3567279951 -2.1700026022 78.2996973252 71.7263366642 71.7263366642
0.7849961581 0.3572364357 1.9949731068 -0.9993449498 77.9981430603 72.4105518230 72.4105518230
0.5522208286 0.7436118947 0.3655458000 1.7052832629 77.8683483674 13.9172935527 13.9172935527
0.1778253463 0.1596729925 -2.2552225757 -2.3822890525 77.8003688937 56.2816736972 56.2816736972
0.1913973674 0.3280929234 -2.1602184285 -1.2033495360 77.6689538742 55.1258463581 55.1258463581
0.2146912372 0.2193923063 -1.9971613398 -1.9642538561 77.2610564749 81.3106956820 77.2610564749
0.4735868123 0.7786787686 -0.1848923140 1.9507513805 77.1542338117 76.2077567947 76.2077567947
0.5427854779 0.7161837396 0.2994983454 1.5132861769 76.6825092004 74.7656783843 74.7656783843
0.4551755382 0.7180475923 -0.3137712328 1.5263331459 76.6431842283 74.5817658130 74.5817658130
0.8005517772 0.3453986521 2.1038624405 -1.0822094355 76.4060808531 73.3547731453 73.3547731453
0.7718536012 0.3447032063 1.9029752087 -1.0870775559 76.4017230066 67.8882218625 67.8882218625
0.7649903900 0.3634797730 1.8549327299 -0.9556415891 76.2726760779 65.5823786689 65.5823786689
0.7946891468 0.3731976467 2.0628240275 -0.8876164734 76.1694173533 72.6049825167 72.6049825167
0.1542695944 0.2403515263 -2.4201128390 -1.8175393161 76.1442224361 83.4613193951 76.1442224361
0.1587127205 0.2944818213 -2.3890109564 -1.4386272511 75.5333278594 71.2793527720 71.2793527720
0.1689151211 0.3243405061 -2.3175941522 -1.2296164572 75.3730617902 56.5175517931 56.5175517931
0.2181391963 0.2595346748 -1.9730256259 -1.6832572765 74.9440428969 81.6542772208 74.9440428969
0.2139227887 0.2960751065 -2.0025404792 -1.4274742544 74.4444372709 70.1993063149 70.1993063149
0.4495823818 0.7691098685 -0.3529233276 1.8837690795 74.4046438201 71.5599281443 71.5599281443
0.8180182136 0.3540721943 2.2261274954 -1.0214946396 74.3796372330 71.6759411460 71.6759411460
0.7860151746 0.3319455011 2.0021062224 -1.1763814926 74.2251229591 69.7574369419 69.7574369419
0.7531054049 0.3476909424 1.7717378344 -1.0661634032 73.8511579565 59.5196662178 59.5196662178
0.2181392209 0.2783733770 -1.9730254536 -1.5513863609 73.5185031995 76.5501544110 73.5185031995
0.7712626063 0.3838072209 1.8988382442 -0.8133494534 73.0978161006 65.3279715989 65.3279715989
0.5611326351 0.7273745346 0.4279284456 1.5916217425 73.0425696157 8.9265823078 8.9265823078
0.4360288217 0.7508401945 -0.4477982483 1.7558813612 72.8839627262 68.6870451180 68.6870451180
0.1505718184 0.2631379325 -2.4459972715 -1.6580344727 72.4659983613 79.9895895246 72.4659983613
0.1933188544 0.1397974412 -2.1467680193 -2.5214179118 72.4279127433 44.1524800028 44.1524800028
0.5506670200 0.7752766832 0.3546691398 1.9269367821 72.2491603836 28.0536225133 28.0536225133
0.5324073491 0.6984229713 0.2268514435 1.3889607994 71.9518471038 69.7807308727 69.7807308727
0.4862978005 0.6927021447 -0.0959153964 1.3489150130 71.6930095261 70.0978239669 70.0978239669
0.1964362281 0.3461345627 -2.1249464035 -1.0770580609 71.6692530451 43.8603765671 43.8603765671
0.8168436018 0.3801533546 2.2179052129 -0.8389265181 71.6572126122 69.6299673350 69.6299673350
0.7573217462 0.3300889914 1.8012522233 -1.1893770599 71.0499412676 59.2680537548 59.2680537548
0.7419783933 0.3672256410 1.6938487530 -0.9294205133 71.0227216831 53.1400083691 53.1400083691
0.5290625692 0.7916380711 0.2034379843 2.0414664974 70.3554965361 68.0559682968 68.0559682968
0.4319512665 0.7280660861 -0.4763411344 1.5964626027 70.2892407201 65.3754471037 65.3754471037
0.8227738840 0.3336592235 2.2594171882 -1.1643854354 70.2488414993 67.9751767244 67.9751767244
0.8039183265 0.3226375861 2.1274282858 -1.2415368970 70.0236844068 68.5278844517 68.5278844517
0.2220298142 0.2017444641 -1.9457913005 -2.0877887511 69.6843324215 73.1510109745 69.6843324215
0.8388905308 0.3607088276 2.3722337153 -0.9750382067 68.6435770706 63.9039649167 63.9039649167
0.1805493725 0.1246146099 -2.2361543923 -2.6276977306 68.1853928047 35.4842160810 35.4842160810
0.1516766834 0.1756906630 -2.4382632163 -2.2701653592 67.7587015520 61.4164937708 61.4164937708
0.7309226648 0.3482319261 1.6164586539 -1.0623765175 67.7549460384 46.4700934468 46.4700934468
0.4577743451 0.7910895993 -0.2955795843 2.0376271953 67.7377409260 64.3780832169 64.3780832169
0.7998903556 0.3994930729 2.0992324890 -0.7035484900 67.1935896549 66.0601989619 66.0601989619
0.5514903648 0.6986749356 0.3604325538 1.3907245493 67.0846709568 3.6604047332 3.6604047332
0.7739649255 0.3139039811 1.9177544788 -1.3026721325 66.9841872836 61.5825033178 61.5825033178
0.1442359386 0.2143158884 -2.4903484297 -1.9997887814 66.2356934741 75.4958260645 66.2356934741
0.2167651710 0.1559271606 -1.9826438028 -2.4085098758 65.9776358390 50.9224578400 50.9224578400
0.7335440424 0.3303901800 1.6348082969 -1.1872687398 65.2847411924 46.1921737076 46.1921737076
0.1547044279 0.1500792434 -2.4170690049 -2.4494452963 64.6650136694 47.5356148716 47.5356148716
0.7425984479 0.3936859731 1.6981891350 -0.7441981881 64.6526304627 49.4895003231 49.4895003231
0.8480164900 0.3424672762 2.4361154302 -1.1027290669 64.4469799106 58.4435369098 58.4435369098
0.5830646467 0.7485796020 0.5814525272 1.7400572140 64.4191561425 14.3632553516 14.3632553516
0.1744412687 0.3707885036 -2.2789111192 -0.9044804749 63.9871167190 30.1452964193 30.1452964193
0.7249655797 0.3823452955 1.5747590577 -0.8235829314 62.9045112187 41.2990036596 41.2990036596
0.1500127232 0.3300785153 -2.4499109375 -1.1894503931 62.5441983790 49.7459257399 49.7459257399
0.2131091212 0.1320882184 -2.0082361515 -2.5753824714 62.3877438907 37.8909412258 37.8909412258
0.7842354519 0.4106281785 1.9896481633 -0.6256027508 62.3722319647 60.2840592208 60.2840592208
0.5688682530 0.7847547212 0.4820777712 1.9932830483 62.0250499293 32.4292218511 32.4292218511
0.8209264174 0.4050130640 2.2464849221 -0.6649085522 61.6878568905 61.3635096886 61.3635096886
0.1411521710 0.1939556905 -2.5119348029 -2.1423101668 61.4113623951 66.9159772405 61.4113623951
0.4115010305 0.7535673493 -0.6194927865 1.7749714450 61.3873784159 53.6928554657 53.6928554657
0.8178079453 0.3072091484 2.2246556168 -1.3495359610 61.2970086070 61.2947680142 61.2947680142
0.7601595191 0.4104517709 1.8211166335 -0.6268376040 60.6675554027 53.0448245843 53.0448245843
0.1987605450 0.1058005205 -2.1086761852 -2.7593963563 60.5922814618 25.6490177322 25.6490177322
0.7867684950 0.3001208203 2.0073794653 -1.3991542579 60.4994677560 59.2294825417 59.2294825417
0.4670998430 0.6781806697 -0.2303010987 1.2472646880 60.4612838262 56.5142834274 56.5142834274
0.2228085340 0.3350258867 -1.9403402621 -1.1548187928 60.4254468199 46.6242442991 46.6242442991
0.1712728334 0.1034612105 -2.3010901660 -2.7757715266 59.4453226190 24.5221026536 24.5221026536
0.7099382870 0.3390443108 1.4695680093 -1.1266898241 58.7717285083 33.1490838578 33.1490838578
0.5746514263 0.6983979962 0.5225599839 1.3887859737 58.7353202972 3.4547827448 3.4547827448
0.8502285620 0.3926143165 2.4515999343 -0.7516997845 58.6619857850 53.5763104789 53.5763104789
0.1540074163 0.3586025318 -2.4219480858 -0.9897822771 58.4571716150 34.6139876556 34.6139876556
0.1395751550 0.3041218444 -2.5229739151 -1.3711470894 58.3714061894 60.6300611213 58.3714061894
0.1770644725 0.3914693353 -2.2605486924 -0.7597146531 57.7318774576 20.7793532167 20.7793532167
0.8638237205 0.3338073222 2.5467660435 -1.1633487448 56.8609174902 48.2655005308 48.2655005308
0.8697965882 0.3612279851 2.5885761171 -0.9714041045 56.7361074770 46.2075733914 46.2075733914
0.7553266716 0.2972653501 1.7872867010 -1.4191425494 56.5543818603 48.6520878080 48.6520878080
