# gen=100 mediating population
# x0..xd fitness
0.464113 0.314758 0.000000
0.523147 0.885220 69.999981
0.637682 0.902437 26.086367
0.979608 0.376974 0.000000
0.334917 0.342230 0.000000
0.155510 0.270439 89.967234
0.347106 0.433883 0.000000
0.235716 0.932967 0.000000
0.520411 0.720391 46.284938
0.339328 0.270588 0.000000
0.647614 0.052854 -0.000000
0.218594 0.093617 0.000000
0.124473 0.824758 0.000523
0.235763 0.791288 0.000000
0.857314 0.007291 -0.000000
0.528412 0.936334 62.547799
0.155509 0.885221 0.000000
0.125814 0.740945 0.000000
0.483655 1.000000 51.125893
0.395275 0.871138 40.302395
0.879665 0.043900 -0.000000
0.204531 0.629175 0.000000
0.632150 0.650717 47.192096
0.000000 0.900012 0.000000
0.398862 0.273203 0.000000
0.523147 0.270588 0.000000
0.626124 0.917963 24.340459
0.118737 0.383581 0.000000
0.658216 0.447210 -0.000000
0.678855 0.988629 15.878556
0.307022 0.627890 0.000000
0.155509 0.270439 89.967600
0.376893 1.000000 32.301556
0.990611 0.088817 -0.000000
0.835315 0.793968 0.000000
0.155509 0.885220 0.000000
0.507772 0.868066 65.666579
0.333647 0.527815 0.000000
0.095903 0.302335 0.000000
0.932254 0.640717 0.000000
0.087106 0.309104 0.000000
0.813985 0.864944 0.000000
0.523702 0.048220 0.000000
0.304300 0.542048 0.000000
0.254814 0.611929 0.000000
0.543862 0.198814 0.000000
0.523147 0.885220 69.999949
0.039058 0.098234 0.000000
0.542527 0.319604 0.000000
0.708166 1.000000 12.698295
0.520674 0.733773 48.210562
0.523147 0.270439 0.000000
0.420303 0.797361 43.031452
0.000000 0.922943 0.000000
0.500596 0.919501 62.815774
0.587502 0.847254 54.120553
0.730894 0.274293 0.000000
0.819981 0.032721 -0.000000
0.992579 0.009450 -0.000000
0.215532 0.257956 0.000000
0.553676 0.087269 0.000000
0.297571 0.929181 0.000000
0.060283 0.924047 0.000000
0.523147 0.885220 69.999990
0.649181 0.976537 18.194714
0.155509 0.707693 0.000000
0.523147 0.885220 69.999946
0.505706 0.753868 50.681714
0.424645 0.504392 0.000000
0.155509 0.270439 89.967600
