1661.7	8.3046	0.0708
1662.2	8.1686	0.081656
1662.6	8.0326	0.090584
1663.1	7.8967	0.097584
1663.6	7.7607	0.10266
1664	7.6247	0.1058
1664.5	7.4887	0.10702
1665	7.3527	0.1063
1665.4	7.2168	0.10366
1665.9	7.0808	0.099096
1666.4	6.9448	0.0926
1666.8	7.0695	0.09184
1670.9	6.8875	0.1783
1671.8	6.7936	0.19544
1672.7	6.6721	0.21258
1673.2	6.6591	0.22854
1673.7	6.5232	0.22972
1674.1	6.6478	0.22896
1673.6	6.6187	0.24064
1674.1	6.4827	0.24472
1674.6	6.3467	0.24686
1675	6.4714	0.2461
1674.6	6.4148	0.25586
1675	6.2788	0.2609
1675.5	6.1428	0.264
1676	6.2675	0.26324
1663.3	8.5482	0.069156
1667.9	7.3335	0.086236
1668.4	7.4434	0.085476
1669.4	7.7363	0.080744
1669.9	7.8314	0.079984
1671	8.1532	0.076124
1671.5	8.2335	0.075364
1662.6	8.3218	0.0692
1663.1	8.1858	0.080056
1663.5	8.0499	0.088984
1664	7.9139	0.095984
1664.5	7.7779	0.10106
1664.9	7.6419	0.1042
1665.4	7.5059	0.10542
1667.2	6.962	0.091
1667.7	7.0901	0.09024
1671.8	6.9047	0.1751
1672.7	6.8108	0.19192
1673.6	6.6893	0.20874
1674.6	6.5404	0.22556
1675	6.6685	0.2248
1675	6.4999	0.24024
1675.5	6.364	0.24238
1675.9	6.4921	0.24162
1675.9	6.296	0.2561
1676.4	6.16	0.2592
1676.9	6.2881	0.25844
1664.1	8.5654	0.067556
1668.8	7.3507	0.084636
1669.3	7.464	0.083876
1670.3	7.7535	0.079144
1670.8	7.852	0.078384
1671.9	8.1704	0.074524
1672.3	8.2541	0.073764
1663.5	8.339	0.0676
1664	8.2031	0.078456
1664.4	8.0671	0.087384
1664.9	7.9311	0.094384
1665.3	7.7951	0.099456
1665.8	7.6591	0.1026
1668.1	6.9792	0.0894
1668.6	7.1108	0.08864
1672.7	6.9219	0.1719
1673.6	6.828	0.1884
1674.5	6.7065	0.2049
1675.4	6.5576	0.2214
1675.9	6.5172	0.23576
1676.4	6.3812	0.2379
1676.8	6.5127	0.23714
1676.8	6.3132	0.2513
1677.3	6.1772	0.2544
1677.7	6.3088	0.25364
1665	8.5826	0.065956
1669.7	7.3679	0.083036
1670.1	7.4847	0.082276
1671.2	7.7707	0.077544
1671.7	7.8727	0.076784
1672.8	8.1876	0.072924
1664.4	8.3563	0.066
1664.8	8.2203	0.076856
1665.3	8.0843	0.085784
1665.8	7.9483	0.092784
1666.2	7.8123	0.097856
1669	6.9965	0.0878
1669.5	7.1314	0.08704
1673.6	6.9392	0.1687
1674.5	6.8452	0.18488
1675.4	6.7238	0.20106
1676.3	6.5748	0.21724
1677.2	6.3984	0.23342
1677.7	6.3304	0.2465
1678.2	6.1945	0.2496
1678.6	6.3294	0.24884
1665.9	8.5998	0.064356
1670.6	7.3851	0.081436
1671	7.5053	0.080676
1672.1	7.7879	0.075944
1672.6	7.8934	0.075184
1673.7	8.2048	0.071324
1665.3	8.3735	0.0644
1665.7	8.2375	0.075256
1666.2	8.1015	0.084184
1666.7	7.9655	0.091184
1669.9	7.0137	0.0862
1670.4	7.1521	0.08544
1675.4	6.8624	0.18136
1676.3	6.741	0.19722
1677.2	6.592	0.21308
1678.1	6.4156	0.22894
1678.6	6.3477	0.2417
1679.1	6.2117	0.2448
1666.8	8.617	0.062756
1671.5	7.4024	0.079836
1671.9	7.526	0.079076
1673	7.8051	0.074344
1673.5	7.914	0.073584
1674.5	8.222	0.069724
1666.2	8.3907	0.0628
1666.6	8.2547	0.073656
1667.1	8.1187	0.082584
1667.6	7.9828	0.089584
1670.8	7.0309	0.0846
1671.3	7.1728	0.08384
1676.3	6.8797	0.17784
1677.2	6.7582	0.19338
1678.1	6.6093	0.20892
1679	6.4328	0.22446
1679.5	6.3649	0.2369
1679.9	6.2289	0.24
1667.7	8.6343	0.061156
1672.4	7.4196	0.078236
1672.8	7.5467	0.077476
1673.9	7.8224	0.072744
