 55.000000  80.100000 1400.000000  11.000000 16.615949 62.216531 0.000000 
 55.000000  80.100000 1600.000000  11.000000 16.615949 54.439465 0.073566 
 55.000000  80.100000 1600.000000  11.900000 18.111384 50.322194 0.073566 
 55.000000  80.100000 1600.000000  12.800000 19.606820 46.783915 0.073566 
 55.000000  80.100000 1600.000000  13.700000 21.102255 43.710519 0.073566 
 55.000000  80.100000 1600.000000  14.600000 22.597691 41.016035 0.073566 
 55.000000  80.100000 1800.000000  11.000000 16.615949 48.390635 0.207762 
 55.000000  80.100000 1800.000000  11.900000 18.111384 44.730839 0.207762 
 55.000000  80.100000 1800.000000  12.800000 19.606820 41.585702 0.207762 
 55.000000  80.100000 1800.000000  13.700000 21.102255 38.853795 0.207762 
 55.000000  80.100000 1800.000000  14.600000 22.597691 36.458698 0.207762 
 55.000000  80.100000 2000.000000  11.000000 16.615949 43.551572 0.341958 
 55.000000  80.100000 2000.000000  11.900000 18.111384 40.257755 0.341958 
 55.000000  80.100000 2000.000000  12.800000 19.606820 37.427132 0.341958 
 55.000000  80.100000 2000.000000  13.700000 21.102255 34.968415 0.341958 
 55.000000  80.100000 2000.000000  14.600000 22.597691 32.812828 0.341958 
 55.000000  80.100000 2000.000000  16.400000 25.588561 29.211420 0.341958 
 55.000000  80.100000 2200.000000  11.000000 16.615949 39.592338 0.476154 
 55.000000  80.100000 2200.000000  11.900000 18.111384 36.597959 0.476154 
 55.000000  80.100000 2200.000000  12.800000 19.606820 34.024665 0.476154 
 55.000000  80.100000 2200.000000  13.700000 21.102255 31.789468 0.476154 
 55.000000  80.100000 2200.000000  14.600000 22.597691 29.829844 0.476154 
 55.000000  80.100000 2400.000000  11.000000 16.615949 36.292976 0.610349 
 55.000000  80.100000 2400.000000  11.900000 18.111384 33.548129 0.610349 
 55.000000  80.100000 2400.000000  13.700000 21.102255 29.140346 0.610349 
 55.000000  80.100000 2400.000000  16.400000 25.588561 24.342850 0.610349 
 55.000000  80.100000 2600.000000  11.000000 16.615949 33.501209 0.744545 
 55.000000  80.100000 2600.000000  11.900000 18.111384 30.967504 0.744545 
 55.000000  80.100000 2600.000000  12.800000 19.606820 28.790101 0.744545 
 55.000000  80.100000 2600.000000  14.600000 22.597691 25.240637 0.744545 
 55.000000  80.100000 2800.000000  11.000000 16.615949 31.108265 0.878741 
 55.000000  80.100000 2800.000000  11.900000 18.111384 28.755540 0.878741 
 55.000000  80.100000 2800.000000  12.800000 19.606820 26.733666 0.878741 
 55.000000  80.100000 2800.000000  13.700000 21.102255 24.977439 0.878741 
 55.000000  80.100000 2800.000000  14.600000 22.597691 23.437734 0.878741 
 55.000000  80.100000 2800.000000  16.400000 25.588561 20.865300 0.878741 
 55.000000  80.100000 2800.000000  18.200000 28.579432 18.801699 0.878741 
 55.000000  80.100000 2800.000000  19.100000 30.074868 17.915755 0.878741 
 55.000000  80.100000 3000.000000  11.000000 16.615949 29.034381 1.012937 
 55.000000  80.100000 3000.000000  11.900000 18.111384 26.838504 1.012937 
 55.000000  80.100000 3000.000000  12.800000 19.606820 24.951421 1.012937 
 55.000000  80.100000 3000.000000  13.700000 21.102255 23.312277 1.012937 
 55.000000  80.100000 3000.000000  14.600000 22.597691 21.875219 1.012937 
 55.000000  80.100000 3000.000000  16.400000 25.588561 19.474280 1.012937 
 55.000000  80.100000 3000.000000  17.300000 27.083997 18.461167 1.012937 
 55.000000  80.100000 3000.000000  18.200000 28.579432 17.548252 1.012937 
 55.000000  80.100000 3000.000000  19.100000 30.074868 16.721371 1.012937 
 55.000000  80.100000 3000.000000  20.000000 31.570303 15.968910 1.012937 
 55.000000  83.090000 1800.000000  11.000000 19.006846 47.236045 0.081644 
 55.000000  83.090000 1800.000000  11.900000 20.717462 43.663571 0.081644 
 55.000000  83.090000 1800.000000  12.800000 22.428078 40.593476 0.081644 
 55.000000  83.090000 1800.000000  13.700000 24.138694 37.926752 0.081644 
 55.000000  83.090000 1800.000000  16.400000 29.270542 31.682713 0.081644 
 55.000000  83.090000 2000.000000  11.000000 19.006846 42.512441 0.201826 
 55.000000  83.090000 2000.000000  11.900000 20.717462 39.297214 0.201826 
 55.000000  83.090000 2000.000000  12.800000 22.428078 36.534129 0.201826 
 55.000000  83.090000 2000.000000  14.600000 25.849310 32.029921 0.201826 
 55.000000  83.090000 2200.000000  11.000000 19.006846 38.647673 0.322009 
 55.000000  83.090000 2200.000000  11.900000 20.717462 35.724740 0.322009 
 55.000000  83.090000 2200.000000  12.800000 22.428078 33.212844 0.322009 
 55.000000  83.090000 2200.000000  13.700000 24.138694 31.030979 0.322009 
 55.000000  83.090000 2200.000000  14.600000 25.849310 29.118110 0.322009 
 55.000000  83.090000 2200.000000  16.400000 29.270542 25.922220 0.322009 
 55.000000  83.090000 2200.000000  20.000000 36.113007 21.256220 0.322009 
 55.000000  83.090000 2400.000000  11.000000 19.006846 35.427034 0.442192 
 55.000000  83.090000 2400.000000  11.900000 20.717462 32.747678 0.442192 
