    -0.500      0.720      0.216      0.018 
    -0.500      0.727      0.222      0.011 
    -0.500      0.733      0.228      0.005 
    -0.500      0.740      0.234      0.002 
    -0.500      0.747      0.240      0.000 
    -0.493      0.700      0.197      0.050 
    -0.493      0.707      0.203      0.038 
    -0.493      0.713      0.208      0.027 
    -0.493      0.720      0.214      0.019 
    -0.493      0.727      0.219      0.012 
    -0.493      0.733      0.225      0.006 
    -0.493      0.740      0.231      0.003 
    -0.493      0.747      0.237      0.001 
    -0.487      0.680      0.179      0.099 
    -0.487      0.687      0.184      0.082 
    -0.487      0.693      0.190      0.066 
    -0.487      0.700      0.195      0.052 
    -0.487      0.707      0.200      0.040 
    -0.487      0.713      0.206      0.030 
    -0.487      0.720      0.211      0.021 
    -0.487      0.727      0.217      0.014 
    -0.487      0.733      0.223      0.009 
    -0.480      0.653      0.157      0.187 
    -0.480      0.660      0.162      0.164 
    -0.480      0.667      0.167      0.142 
    -0.480      0.673      0.172      0.122 
    -0.480      0.680      0.177      0.103 
    -0.480      0.687      0.182      0.086 
    -0.480      0.693      0.187      0.071 
    -0.480      0.700      0.192      0.057 
    -0.480      0.707      0.198      0.045 
    -0.480      0.713      0.203      0.034 
    -0.480      0.720      0.209      0.026 
    -0.473      0.633      0.141      0.271 
    -0.473      0.640      0.146      0.243 
    -0.473      0.647      0.150      0.217 
    -0.473      0.653      0.155      0.193 
    -0.473      0.660      0.160      0.170 
    -0.473      0.667      0.164      0.148 
    -0.473      0.673      0.169      0.128 
    -0.473      0.680      0.174      0.109 
    -0.473      0.687      0.180      0.092 
    -0.473      0.693      0.185      0.077 
    -0.473      0.700      0.190      0.063 
    -0.473      0.707      0.195      0.051 
    -0.467      0.620      0.130      0.337 
    -0.467      0.627      0.134      0.307 
    -0.467      0.633      0.139      0.279 
    -0.467      0.640      0.143      0.251 
    -0.467      0.647      0.148      0.225 
    -0.467      0.653      0.153      0.201 
    -0.467      0.660      0.157      0.178 
    -0.467      0.667      0.162      0.156 
    -0.467      0.673      0.167      0.136 
    -0.467      0.680      0.172      0.117 
    -0.467      0.687      0.177      0.100 
    -0.467      0.693      0.182      0.085 
    -0.460      0.607      0.120      0.410 
    -0.460      0.613      0.124      0.378 
    -0.460      0.620      0.128      0.347 
    -0.460      0.627      0.132      0.317 
    -0.460      0.633      0.137      0.288 
    -0.460      0.640      0.141      0.261 
    -0.460      0.647      0.146      0.235 
    -0.460      0.653      0.150      0.210 
    -0.460      0.660      0.155      0.187 
    -0.460      0.667      0.160      0.165 
    -0.460      0.673      0.165      0.145 
    -0.460      0.680      0.170      0.127 
    -0.453      0.593      0.110      0.489 
    -0.453      0.600      0.114      0.455 
    -0.453      0.607      0.118      0.422 
    -0.453      0.613      0.122      0.389 
    -0.453      0.620      0.126      0.358 
    -0.453      0.627      0.130      0.328 
    -0.453      0.633      0.135      0.300 
    -0.453      0.640      0.139      0.272 
    -0.453      0.647      0.144      0.246 
    -0.453      0.653      0.148      0.222 
    -0.453      0.660      0.153      0.198 
    -0.453      0.667      0.158      0.177 
    -0.447      0.580      0.100      0.574 
    -0.447      0.587      0.104      0.538 
    -0.447      0.593      0.108      0.502 
    -0.447      0.600      0.112      0.468 
    -0.447      0.607      0.116      0.434 
    -0.447      0.613      0.120      0.402 
    -0.447      0.620      0.124      0.371 
    -0.447      0.627      0.128      0.341 
    -0.447      0.633      0.133      0.312 
    -0.447      0.640      0.137      0.285 
    -0.447      0.647      0.142      0.259 
    -0.447      0.653      0.146      0.234 
    -0.440      0.567      0.091      0.663 
    -0.440      0.573      0.094      0.626 
    -0.440      0.580      0.098      0.588 
    -0.440      0.587      0.102      0.552 
    -0.440      0.593      0.106      0.517 
    -0.440      0.600      0.110      0.482 
    -0.440      0.607      0.114      0.449 
    -0.440      0.613      0.118      0.417 
    -0.440      0.620      0.122      0.386 
    -0.440      0.627      0.126      0.356 
    -0.440      0.633      0.131      0.327 
    -0.433      0.553      0.082      0.758 
    -0.433      0.560      0.085      0.718 
    -0.433      0.567      0.089      0.680 
    -0.433      0.573      0.092      0.642 
    -0.433      0.580      0.096      0.605 
    -0.433      0.587      0.100      0.568 
    -0.433      0.593      0.104      0.533 
    -0.433      0.600      0.108      0.499 
    -0.433      0.607      0.112      0.465 
    -0.433      0.613      0.116      0.433 
    -0.433      0.620      0.120      0.402 
    -0.427      0.540      0.074      0.856 
    -0.427      0.547      0.077      0.815 
    -0.427      0.553      0.080      0.775 
    -0.427      0.560      0.084      0.736 
    -0.427      0.567      0.087      0.698 
    -0.427      0.573      0.091      0.660 
    -0.427      0.580      0.094      0.623 
    -0.427      0.587      0.098      0.586 
    -0.427      0.593      0.102      0.551 
    -0.427      0.600      0.106      0.517 
    -0.420      0.467      0.042      1.332 
    -0.420      0.473      0.044      1.290 
    -0.420      0.480      0.047      1.249 
    -0.420      0.487      0.049      1.207 
    -0.420      0.493      0.052      1.166 
    -0.420      0.500      0.054      1.124 
    -0.420      0.507      0.057      1.082 
    -0.420      0.513      0.060      1.040 
    -0.420      0.520      0.063      0.998 
    -0.420      0.527      0.066      0.957 
    -0.420      0.533      0.069      0.916 
    -0.420      0.540      0.072      0.875 
    -0.420      0.547      0.075      0.835 
    -0.420      0.553      0.079      0.795 
    -0.420      0.560      0.082      0.756 
    -0.420      0.567      0.086      0.717 
    -0.420      0.573      0.089      0.679 
    -0.413      0.453      0.036      1.434 
    -0.413      0.460      0.038      1.393 
    -0.413      0.467      0.041      1.353 
    -0.413      0.473      0.043      1.311 
    -0.413      0.480      0.045      1.270 
