# gen=200 OSA snapshot
# x0..xd fitness
0.155510 0.270440 90.000000
0.523147 0.885220 70.000000
0.523147 0.858960 66.223133
0.512679 0.837776 62.758307
0.537030 0.921674 63.848482
0.531588 0.856439 65.421736
0.474896 0.885917 58.819327
0.510493 0.885219 67.068040
0.490818 0.846256 60.645486
0.523147 0.939768 62.154533
0.516849 0.855841 65.529736
0.518154 0.887603 68.793271
0.486043 0.935282 58.785803
0.535201 0.980059 56.076064
0.523147 0.844579 64.154804
0.512271 0.793817 56.614901
0.536358 0.853112 64.459583
0.482089 0.845137 58.876717
0.518940 0.876928 68.459780
0.540555 0.869454 65.372770
0.523147 0.783359 55.349787
0.481164 0.820951 56.582141
0.523147 0.813849 59.734976
0.519708 0.920443 64.871796
0.520023 0.833233 62.487973
0.518686 0.934064 62.899510
0.486164 0.855570 60.428678
0.553972 0.923106 61.015768
0.508118 0.850983 63.969011
0.513249 0.829454 61.658213
0.577191 0.904132 57.184884
0.523147 0.882219 69.568312
0.517949 0.836340 62.867387
0.527722 0.894823 68.258882
0.523212 0.894352 68.686528
0.499759 0.894245 64.427544
0.521227 0.962442 58.884683
0.517373 0.942610 61.638226
0.556088 0.948376 58.134193
0.523147 0.967561 58.157259
0.528260 0.885145 68.815257
0.511909 0.866735 66.278717
0.560349 0.869901 61.102899
0.496374 0.915407 62.428004
0.523013 0.887534 69.665739
0.516472 0.870092 67.330546
0.537353 0.898546 66.190976
0.523147 0.928817 63.729685
0.521408 0.863849 66.900007
0.528413 0.808222 58.858475
0.513866 0.804299 58.164736
0.531891 0.841443 63.385627
0.520445 0.823025 61.032877
0.528214 0.913570 65.756818
0.511764 0.898813 66.716851
0.523147 0.980186 56.341393
0.566628 0.876623 59.849593
0.482308 0.921600 59.186807
0.483651 0.887941 60.840087
0.538013 0.834722 61.961542
0.534181 0.847014 63.939248
0.484957 0.807609 55.756955
0.505921 0.923028 63.254738
0.523218 0.873822 68.360572
0.549646 0.893014 63.758381
0.509391 0.874040 66.430043
0.523147 0.903768 67.332397
0.502775 0.858358 63.900444
0.561586 0.819170 56.977952
0.529331 0.878581 68.278138
0.537921 0.783282 54.943983
0.540277 0.957579 58.860976
0.504660 0.869421 65.151063
0.575434 0.885220 57.884486
0.538786 0.949069 60.127227
0.572490 0.832565 56.286411
0.535494 0.892270 66.964758
0.504898 0.832109 61.269376
0.463167 0.855293 55.451509
0.545738 0.830693 60.571085
0.501211 0.807390 57.706852
0.525608 0.799930 57.719818
0.546194 0.886861 64.654489
0.571438 0.857154 58.105126
0.529292 0.968294 57.967117
0.541376 0.905181 64.892722
0.523651 0.790440 56.367710
0.539013 0.815722 59.349552
0.517034 0.929480 63.478710
0.488670 0.831978 58.934743
0.484892 0.910039 60.444069
0.535755 0.906186 65.801307
0.547435 0.931256 61.309611
0.494008 0.944265 59.150957
0.528382 0.905571 66.831572
0.515632 0.977956 56.549254
0.498227 0.826635 59.785929
0.527218 0.961947 58.924270
0.486415 0.815180 56.813426
0.567177 0.900087 59.575743
0.536439 0.803319 57.824246
0.510792 0.935265 62.253899
0.499670 0.931555 61.397614
0.550521 0.847018 61.608437
0.516531 0.863900 66.571882
0.538673 0.877410 66.231209
0.499405 0.953948 58.687758
0.537152 0.935456 62.079106
0.512961 0.943864 61.241635
0.558923 0.836137 59.111984
0.523147 0.949320 60.780716
0.458896 0.900995 54.940361
0.500966 0.844210 62.177119
0.542412 0.973937 56.481066
0.519711 0.913218 65.895284
0.529847 0.889733 68.317345
0.532779 0.929579 63.240739
0.511989 0.957434 59.297124
0.503021 0.885289 65.336492
0.136324 0.811450 56.696313
